 	Channel 4	 	 
Time	Value	Cmt Time	Cmt Text
s	V	s	 
1049.63925	1.0	1039.7	C
1049.6788	1.0	1039.7	C
1049.8611	0.0	1039.7	C
1049.92525	0.0	1039.7	C
1050.02085	0.0	1039.7	C
1050.0893	1.0	1039.7	C
1050.2732	0.0	1039.7	C
1050.53	0.0	1039.7	C
1056.7623	0.0	1039.7	C
1056.79595	0.0	1039.7	C
1056.8095	0.0	1039.7	C
1057.1399	0.0	1039.7	C
1057.24205	0.0	1039.7	C
1057.39975	0.0	1039.7	C
1057.5393	0.0	1039.7	C
1057.68755	0.0	1039.7	C
1057.85015	0.0	1039.7	C
1058.0034	0.0	1039.7	C
1058.13625	0.0	1039.7	C
1058.26855	0.0	1039.7	C
1058.39945	0.0	1039.7	C
1058.5586	0.0	1039.7	C
1058.70725	0.0	1039.7	C
1058.8606	0.0	1039.7	C
1059.11315	0.0	1039.7	C
1059.11565	0.0	1039.7	C
1061.4612	0.0	1060.4025	H
1061.5398	0.0	1060.4025	H
1062.04245	0.0	1060.4025	H
1062.2213	1.0	1060.4025	H
1062.27035	1.0	1060.4025	H
1063.4084	1.0	1060.4025	H
1063.57495	1.0	1060.4025	H
1064.84445	1.0	1060.4025	H
1065.11395	1.0	1060.4025	H
1065.22355	0.0	1060.4025	H
1065.2831	1.0	1060.4025	H
1065.54375	1.0	1060.4025	H
1065.914	1.0	1060.4025	H
1066.4986	1.0	1060.4025	H
1066.8192	1.0	1060.4025	H
1066.97645	1.0	1060.4025	H
1067.7295	1.0	1060.4025	H
1067.889	1.0	1060.4025	H
1068.83395	1.0	1060.4025	H
1068.9325	1.0	1060.4025	H
1069.69485	1.0	1060.4025	H
1069.79665	0.0	1060.4025	H
1069.84065	0.0	1060.4025	H
1070.82655	1.0	1060.4025	H
1073.12815	0.0	1060.4025	H
1074.1349	0.0	1060.4025	H
1074.1376	0.0	1060.4025	H
1074.15625	0.0	1060.4025	H
1074.17575	0.0	1060.4025	H
1079.9274	0.0	1060.4025	H
1080.5175	0.0	1060.4025	H
1084.7403	1.0	1083.3975	G
1084.83545	0.0	1083.3975	G
1086.1389	1.0	1083.3975	G
1086.18255	1.0	1083.3975	G
1086.3001	1.0	1083.3975	G
1087.4603	1.0	1083.3975	G
1087.78675	0.0	1083.3975	G
1087.78915	0.0	1083.3975	G
1088.22815	0.0	1083.3975	G
1088.49165	0.0	1083.3975	G
1088.7745	0.0	1083.3975	G
1089.2954	1.0	1083.3975	G
1089.4575	1.0	1083.3975	G
1089.5179	1.0	1083.3975	G
1089.65785	1.0	1083.3975	G
1089.80545	1.0	1083.3975	G
1089.8533	1.0	1083.3975	G
1090.3649	0.0	1083.3975	G
1090.4679	1.0	1083.3975	G
1092.85005	1.0	1083.3975	G
1093.4307	0.0	1083.3975	G
1094.1346	0.0	1083.3975	G
1094.1992	1.0	1083.3975	G
1094.23625	1.0	1083.3975	G
1094.2707	1.0	1083.3975	G
1094.3349	1.0	1083.3975	G
1094.3972	1.0	1083.3975	G
1094.4284	1.0	1083.3975	G
1094.5234	1.0	1083.3975	G
1097.0944	0.0	1083.3975	G
1100.5928	1.0	1083.3975	G
1105.1655	1.0	1104.2975	L
1105.60115	1.0	1104.2975	L
1105.69485	1.0	1104.2975	L
1105.82935	1.0	1104.2975	L
1105.97065	1.0	1104.2975	L
1106.01775	1.0	1104.2975	L
1106.04075	0.0	1104.2975	L
1106.0951	1.0	1104.2975	L
1106.27425	1.0	1104.2975	L
1106.34775	1.0	1104.2975	L
1106.3729	0.0	1104.2975	L
1106.43495	0.0	1104.2975	L
1107.37565	1.0	1104.2975	L
1107.41145	1.0	1104.2975	L
1107.52315	1.0	1104.2975	L
1107.5697	1.0	1104.2975	L
1107.69115	1.0	1104.2975	L
1107.9325	1.0	1104.2975	L
1108.00135	1.0	1104.2975	L
1108.06075	1.0	1104.2975	L
1108.13605	1.0	1104.2975	L
1108.17585	0.0	1104.2975	L
1108.8439	1.0	1104.2975	L
1109.0701	1.0	1104.2975	L
1109.65125	1.0	1104.2975	L
1109.7048	0.0	1104.2975	L
1109.7411	1.0	1104.2975	L
1109.7974	1.0	1104.2975	L
1109.82605	1.0	1104.2975	L
1110.67025	1.0	1104.2975	L
1111.04645	1.0	1104.2975	L
1111.7617	1.0	1104.2975	L
1111.8867	1.0	1104.2975	L
1111.96465	1.0	1104.2975	L
1112.10855	1.0	1104.2975	L
1112.54825	0.0	1104.2975	L
1112.7147	1.0	1104.2975	L
1112.9043	1.0	1104.2975	L
1112.94095	0.0	1104.2975	L
1123.707	0.0	1104.2975	L
1126.66115	0.0	1124.9025	A
1127.1108	0.0	1124.9025	A
1127.27795	0.0	1124.9025	A
1127.2864	0.0	1124.9025	A
1127.34205	0.0	1124.9025	A
1127.3448	0.0	1124.9025	A
1127.3629	0.0	1124.9025	A
1128.867	1.0	1124.9025	A
1128.9489	1.0	1124.9025	A
1129.3416	1.0	1124.9025	A
1131.1497	1.0	1124.9025	A
1131.99855	1.0	1124.9025	A
1132.4607	1.0	1124.9025	A
1132.62775	1.0	1124.9025	A
1132.66315	1.0	1124.9025	A
1133.87835	0.0	1124.9025	A
1139.5267	0.0	1124.9025	A
1146.8874	1.0	1145.9975	S
1147.02915	1.0	1145.9975	S
1147.1	1.0	1145.9975	S
1147.1364	1.0	1145.9975	S
1147.2059	1.0	1145.9975	S
1147.24185	1.0	1145.9975	S
1147.419	1.0	1145.9975	S
1147.5536	1.0	1145.9975	S
1147.73915	1.0	1145.9975	S
1147.89745	1.0	1145.9975	S
1148.0353	1.0	1145.9975	S
1148.17205	0.0	1145.9975	S
1148.99615	1.0	1145.9975	S
1149.1454	1.0	1145.9975	S
1149.21265	1.0	1145.9975	S
1150.14425	1.0	1145.9975	S
1150.19165	1.0	1145.9975	S
1150.2444	1.0	1145.9975	S
1150.33205	1.0	1145.9975	S
1150.3652	1.0	1145.9975	S
1150.39765	1.0	1145.9975	S
1150.69	1.0	1145.9975	S
1150.7333	1.0	1145.9975	S
1150.82305	1.0	1145.9975	S
1150.8659	1.0	1145.9975	S
1151.0402	1.0	1145.9975	S
1151.0801	1.0	1145.9975	S
1151.1221	1.0	1145.9975	S
1151.2547	1.0	1145.9975	S
1151.3403	1.0	1145.9975	S
1151.51395	1.0	1145.9975	S
1151.83515	1.0	1145.9975	S
1152.01935	1.0	1145.9975	S
1152.0703	1.0	1145.9975	S
1152.1664	1.0	1145.9975	S
1152.29185	1.0	1145.9975	S
1152.68445	1.0	1145.9975	S
1152.90195	1.0	1145.9975	S
1153.3705	1.0	1145.9975	S
1153.472	1.0	1145.9975	S
1154.4231	0.0	1145.9975	S
1154.79815	1.0	1145.9975	S
1155.2187	1.0	1145.9975	S
1155.36645	1.0	1145.9975	S
1155.62675	1.0	1145.9975	S
1156.08345	1.0	1145.9975	S
1157.6622	0.0	1145.9975	S
1158.19175	0.0	1145.9975	S
1158.20375	1.0	1145.9975	S
1159.4497	0.0	1145.9975	S
1159.5993	1.0	1145.9975	S
1166.6971	1.0	1166.6475	S
1167.03	1.0	1166.6475	S
1167.62995	1.0	1166.6475	S
1168.0348	1.0	1166.6475	S
1168.1058	1.0	1166.6475	S
1168.1722	1.0	1166.6475	S
1168.2891	1.0	1166.6475	S
1168.42425	1.0	1166.6475	S
1168.78105	1.0	1166.6475	S
1168.9314	0.0	1166.6475	S
1168.97065	0.0	1166.6475	S
1169.01135	1.0	1166.6475	S
1169.06615	1.0	1166.6475	S
1170.5202	1.0	1166.6475	S
1170.64195	0.0	1166.6475	S
1170.74745	1.0	1166.6475	S
1170.78235	1.0	1166.6475	S
1170.82035	1.0	1166.6475	S
1170.89655	1.0	1166.6475	S
1171.4642	1.0	1166.6475	S
1172.0747	0.0	1166.6475	S
1172.2199	1.0	1166.6475	S
1172.3491	0.0	1166.6475	S
1172.39995	1.0	1166.6475	S
1172.6751	1.0	1166.6475	S
1172.83235	1.0	1166.6475	S
1172.9508	1.0	1166.6475	S
1173.048	1.0	1166.6475	S
1173.09795	1.0	1166.6475	S
1173.1615	1.0	1166.6475	S
1174.24365	0.0	1166.6475	S
1174.4103	1.0	1166.6475	S
1174.5819	0.0	1166.6475	S
1174.6465	0.0	1166.6475	S
1177.28365	1.0	1166.6475	S
1177.286	0.0	1166.6475	S
1180.7731	0.0	1166.6475	S
1181.6926	0.0	1166.6475	S
1183.5676	0.0	1166.6475	S
