UnitName,UnitType,StimNumber,Stimulus,isi.sec,Presentation,time.sec,IFF
SC-17-2,MS,3,happiness,0.237,1,2.807,4.219409282700422
SC-17-2,MS,3,happiness,0.101,1,2.908,9.900990099009901
SC-17-2,MS,3,happiness,0.227,1,3.1350000000000002,4.405286343612334
SC-17-2,MS,3,happiness,0.212,1,3.347,4.716981132075472
SC-17-2,MS,3,happiness,0.24,1,3.587,4.166666666666667
SC-17-2,MS,3,happiness,0.254,1,3.841,3.937007874015748
SC-17-2,MS,3,happiness,0.32,1,4.161,3.125
SC-17-2,MS,3,happiness,0.28,1,4.441,3.571428571428571
SC-17-2,MS,3,happiness,0.189,1,4.63,5.291005291005291
SC-17-2,MS,3,happiness,0.28,1,4.91,3.571428571428571
SC-17-2,MS,3,happiness,0.137,1,5.047,7.2992700729927
SC-17-2,MS,3,happiness,0.224,1,5.271,4.464285714285714
SC-17-2,MS,3,happiness,0.158,1,5.429,6.329113924050633
SC-17-2,MS,3,happiness,0.145,1,5.574,6.8965517241379315
SC-17-2,MS,3,happiness,0.497,1,6.071,2.0120724346076457
SC-17-2,MS,3,happiness,0.196,1,6.267,5.1020408163265305
SC-17-2,MS,3,happiness,0.191,1,6.458,5.2356020942408374
SC-17-2,MS,3,happiness,0.118,1,6.5760000000000005,8.474576271186441
SC-17-2,MS,3,happiness,0.323,1,6.899,3.095975232198142
SC-17-2,MS,3,happiness,0.292,1,7.191,3.4246575342465757
SC-17-2,MS,3,happiness,0.631,1,7.822,1.5847860538827259
SC-17-2,MS,3,happiness,0.307,1,8.129,3.257328990228013
SC-17-2,MS,3,happiness,0.217,1,8.346,4.6082949308755765
SC-17-2,MS,3,happiness,0.281,1,8.627,3.558718861209964
SC-17-2,MS,3,happiness,0.28,1,8.907,3.571428571428571
SC-17-2,MS,3,happiness,0.05,1,8.957,20
SC-17-2,MS,3,happiness,0.639,1,9.596,1.5649452269170578
SC-17-2,MS,3,happiness,0.235,1,9.831,4.25531914893617
SC-17-2,MS,3,happiness,0.294,1,10.125,3.4013605442176873
SC-17-2,MS,3,happiness,0.311,1,10.436,3.215434083601286
SC-17-2,MS,3,happiness,0.449,1,10.885,2.2271714922048997
SC-17-2,MS,3,happiness,0.24,1,11.125,4.166666666666667
SC-17-2,MS,3,happiness,0.298,1,11.423,3.3557046979865772
SC-17-2,MS,3,happiness,0.278,1,11.701,3.5971223021582732
SC-17-2,MS,3,happiness,0.26,1,11.961,3.846153846153846
SC-17-2,MS,3,happiness,0.247,1,12.208,4.048582995951417
SC-17-2,MS,3,happiness,0.298,1,12.506,3.3557046979865772
SC-17-2,MS,3,happiness,0.329,1,12.835,3.03951367781155
SC-17-2,MS,3,happiness,0.255,1,13.09,3.9215686274509802
SC-17-2,MS,3,happiness,0.181,1,13.271,5.524861878453039
SC-17-2,MS,3,happiness,0.217,1,13.488,4.6082949308755765
SC-17-2,MS,3,happiness,0.181,1,13.669,5.524861878453039
SC-17-2,MS,3,happiness,0.265,1,13.934,3.773584905660377
SC-17-2,MS,3,happiness,0.324,1,14.258000000000001,3.0864197530864197
SC-17-2,MS,4,sadness,0.079,1,0.079,12.658227848101266
SC-17-2,MS,4,sadness,0.074,1,0.153,13.513513513513514
SC-17-2,MS,4,sadness,0.069,1,0.222,14.492753623188404
SC-17-2,MS,4,sadness,0.074,1,0.296,13.513513513513514
SC-17-2,MS,4,sadness,0.074,1,0.37,13.513513513513514
SC-17-2,MS,4,sadness,0.077,1,0.447,12.987012987012987
SC-17-2,MS,4,sadness,0.097,1,0.544,10.309278350515463
SC-17-2,MS,4,sadness,0.095,1,0.639,10.526315789473685
SC-17-2,MS,4,sadness,0.104,1,0.743,9.615384615384615
SC-17-2,MS,4,sadness,0.115,1,0.858,8.695652173913043
SC-17-2,MS,4,sadness,0.104,1,0.962,9.615384615384615
SC-17-2,MS,4,sadness,0.125,1,1.087,8
SC-17-2,MS,4,sadness,0.117,1,1.204,8.547008547008547
SC-17-2,MS,4,sadness,0.116,1,1.32,8.620689655172413
SC-17-2,MS,4,sadness,0.117,1,1.437,8.547008547008547
SC-17-2,MS,4,sadness,0.112,1,1.549,8.928571428571429
SC-17-2,MS,4,sadness,0.081,1,1.6300000000000001,12.345679012345679
SC-17-2,MS,4,sadness,0.05,1,1.68,20
SC-17-2,MS,4,sadness,0.077,1,1.7570000000000001,12.987012987012987
SC-17-2,MS,4,sadness,0.108,1,1.865,9.25925925925926
SC-17-2,MS,4,sadness,0.097,1,1.962,10.309278350515463
SC-17-2,MS,4,sadness,0.115,1,2.077,8.695652173913043
SC-17-2,MS,4,sadness,0.144,1,2.221,6.944444444444445
SC-17-2,MS,4,sadness,0.169,1,2.39,5.9171597633136095
SC-17-2,MS,4,sadness,0.136,1,2.5260000000000002,7.352941176470588
SC-17-2,MS,4,sadness,0.099,1,2.625,10.1010101010101
SC-17-2,MS,4,sadness,0.105,1,2.73,9.523809523809524
SC-17-2,MS,4,sadness,0.11,1,2.84,9.090909090909092
SC-17-2,MS,4,sadness,0.122,1,2.962,8.19672131147541
SC-17-2,MS,4,sadness,0.12,1,3.082,8.333333333333334
SC-17-2,MS,4,sadness,0.117,1,3.199,8.547008547008547
SC-17-2,MS,4,sadness,0.119,1,3.318,8.403361344537815
SC-17-2,MS,4,sadness,0.154,1,3.472,6.4935064935064934
SC-17-2,MS,4,sadness,0.179,1,3.651,5.58659217877095
SC-17-2,MS,4,sadness,0.2,1,3.851,5
SC-17-2,MS,4,sadness,0.167,1,4.018,5.988023952095808
SC-17-2,MS,4,sadness,0.178,1,4.196,5.617977528089888
SC-17-2,MS,4,sadness,0.158,1,4.354,6.329113924050633
SC-17-2,MS,4,sadness,0.167,1,4.521,5.988023952095808
SC-17-2,MS,4,sadness,0.174,1,4.695,5.74712643678161
SC-17-2,MS,4,sadness,0.75,1,5.445,1.3333333333333333
SC-17-2,MS,4,sadness,0.11,1,5.555,9.090909090909092
SC-17-2,MS,4,sadness,0.083,1,5.638,12.048192771084336
SC-17-2,MS,4,sadness,0.078,1,5.716,12.820512820512821
SC-17-2,MS,4,sadness,0.072,1,5.788,13.88888888888889
SC-17-2,MS,4,sadness,0.125,1,5.913,8
SC-17-2,MS,4,sadness,0.125,1,6.038,8
SC-17-2,MS,4,sadness,0.129,1,6.167,7.751937984496124
