"UnitName"	"UnitType"	"StimNumber"	"Stimulus"	"n.spikes"	"mean.freq"	"peak.freq"	"mean.isi.sec"	"sd.isi.sec"	"cv.isi.sec"
"SC-20-4"	"MS"	5	"happiness"	6	0.885363175974784	2.83687943262395	1.12948	0.751230654992186	0.665111958593499
"SC-20-4"	"MS"	6	"calming"	4	13.831258644536	21.7155266015162	0.0723000000000032	0.022933545299403	0.317199796672226
"SC-21-1"	"Field"	1	"attention"	13	14.0597539543059	281.690140843613	0.0711249999999997	0.0852146207578783	1.19809660116525
"SC-21-1"	"Field"	2	"love"	21	2.42371361399937	183.486238532239	0.41259	0.825771863104287	2.00143450666348
"SC-21-1"	"Field"	3	"calming"	34	4.69470209981217	243.902439017984	0.213006060606062	0.559411645274188	2.62627102572811
"SC-21-1"	"Field"	4	"gratitude"	28	2.88189052018125	76.045627376449	0.346994444444443	0.399365474205239	1.15092757419977
"SC-21-1"	"Field"	5	"happiness"	29	3.12996042835741	322.580645159454	0.31949285714286	0.37551384368483	1.17534347103391
"SC-21-1"	"Field"	6	"sadness"	12	1.14666346990789	61.7283950616286	0.87209545454546	1.4035975139716	1.60945399572477
"SC-21-1"	"Field"	7	"attention"	31	3.63673833061589	317.460317459804	0.274971666666666	0.408744280078768	1.48649599078245
"SC-21-1"	"Field"	8	"calming"	33	3.63613637784	196.078431373689	0.275017187500001	0.452020727580936	1.64360901109475
"SC-21-1"	"Field"	9	"happiness"	57	6.11644176000609	357.142857145502	0.163493750000001	0.230639775222686	1.41069475269046
"SC-21-1"	"Field"	10	"love"	37	3.84872377388748	178.571428572751	0.259826388888889	0.548206292308458	2.10989459020227
"SC-21-1"	"Field"	11	"gratitude"	45	4.83073224019714	60.4229607248856	0.207007954545457	0.270277417760983	1.30563783577521
"SC-21-1"	"Field"	12	"attention"	16	5.11308438293583	384.615384611025	0.19557666666667	0.423427281185756	2.16501941873987
"SC-21-1"	"Field"	13	"sadness"	5	0.611284308331797	57.306590257704	1.63590000000002	1.28961343885161	0.788320458983799
"SC-21-1"	"Field"	14	"happiness"	49	5.20542448609985	327.868852480213	0.192107291666668	0.273544499664608	1.42391523659208
"SC-21-1"	"Field"	15	"sadness"	2	0.151749673738202	0.151749673738202	6.58979999999997	NA	NA
"SC-21-1"	"Field"	16	"love"	48	5.79538588638583	243.90243903151	0.172551063829786	0.390256732316558	2.26168835853443
"SC-21-1"	"Field"	17	"calming"	32	3.2061889789839	55.7103064069088	0.311896774193553	0.841783940800292	2.69891839367953
"SC-21-1"	"Field"	18	"gratitude"	74	7.4549130940954	155.03875968785	0.134139726027395	0.306840141034281	2.28746658519054
"SC-21-1"	"Field"	19	"attention"	30	3.14009138748727	377.358490579818	0.318462068965518	0.574756324089872	1.80478738317845
"SC-21-1"	"Field"	20	"attention"	114	10.0312032561465	425.531914897504	0.0996889380530955	0.226010922394738	2.26716150065077
"SC-21-1"	"Field"	21	"attention"	108	10.6600780078605	434.782608718828	0.093807943925234	0.256736879673358	2.7368351648127
"SC-21-1"	"Field"	22	"attention"	115	11.7226061204344	392.15686275612	0.0853052631578944	0.230867666321169	2.70637071822694
"SC-21-2"	"HFA"	3	"attention"	97	9.67239789826851	344.827586212347	0.103386979166667	0.252977267154769	2.44689678713749
"SC-21-2"	"HFA"	4	"love"	123	11.8545581747868	194.174757283145	0.0843557377049177	0.289596606527539	3.43303981930154
"SC-21-2"	"HFA"	5	"gratitude"	200	18.244410930144	249.999999998806	0.0548113065326635	0.112553705521265	2.05347605524038
"SC-21-2"	"HFA"	6	"sadness"	15	1.21292457775063	158.730158729902	0.824453571428575	1.66654042029777	2.02138783559402
"SC-21-2"	"HFA"	7	"happiness"	75	6.19425691936166	317.460317459804	0.161439864864865	0.301854672006765	1.86976539071955
"SC-21-2"	"HFA"	8	"calming"	149	12.4456030441272	208.333333336286	0.0803496621621622	0.204338173209259	2.54311179052456
"SC-21-2"	"HFA"	9	"attention"	68	6.23537130705476	307.692307694202	0.16037537313433	0.304633725720657	1.89950439251978
"SC-21-2"	"HFA"	10	"love"	117	9.76488513632963	246.913580246514	0.102407758620689	0.304555708804435	2.97395151408876
"SC-21-2"	"HFA"	11	"gratitude"	228	19.6211476210438	294.117647053977	0.0509654185022028	0.136247905497182	2.67334026681824
"SC-21-2"	"HFA"	12	"sadness"	10	0.859857550265838	99.5024875624034	1.16298333333334	1.48912482288256	1.28043522224385
"SC-21-2"	"HFA"	13	"happiness"	93	8.03577667528474	363.636363637446	0.12444347826087	0.222007711629438	1.78400439084518
"SC-21-2"	"HFA"	14	"calming"	131	11.0691995265789	172.413793102794	0.0903407692307689	0.280079465314532	3.10025548486409
"SC-21-2"	"HFA"	15	"attention"	58	5.69658205076955	322.580645159454	0.175543859649122	0.283788450049086	1.61662419076534
