"UnitName"	"UnitType"	"StimNumber"	"Stimulus"	"isi.sec"
"SC-13-2"	"HFA"	1	"love"	NA
"SC-13-2"	"HFA"	1	"love"	0.32205
"SC-13-2"	"HFA"	1	"love"	0.00809999999999977
"SC-13-2"	"HFA"	1	"love"	0.00905000000000022
"SC-13-2"	"HFA"	1	"love"	0.0431499999999998
"SC-13-2"	"HFA"	1	"love"	0.0248000000000004
"SC-13-2"	"HFA"	1	"love"	0.00564999999999971
"SC-13-2"	"HFA"	1	"love"	0.0553500000000002
"SC-13-2"	"HFA"	1	"love"	0.00714999999999977
"SC-13-2"	"HFA"	1	"love"	0.0239500000000001
"SC-13-2"	"HFA"	1	"love"	0.0244
"SC-13-2"	"HFA"	1	"love"	0.0493999999999999
"SC-13-2"	"HFA"	1	"love"	0.0434000000000001
"SC-13-2"	"HFA"	1	"love"	0.0219999999999998
"SC-13-2"	"HFA"	1	"love"	0.03505
"SC-13-2"	"HFA"	1	"love"	0.01905
"SC-13-2"	"HFA"	1	"love"	0.00855000000000006
"SC-13-2"	"HFA"	1	"love"	0.0404
"SC-13-2"	"HFA"	1	"love"	0.00355000000000016
"SC-13-2"	"HFA"	1	"love"	0.0106999999999999
"SC-13-2"	"HFA"	1	"love"	0.0500500000000001
"SC-13-2"	"HFA"	1	"love"	0.0290499999999998
"SC-13-2"	"HFA"	1	"love"	0.10535
"SC-13-2"	"HFA"	1	"love"	0.0258500000000002
"SC-13-2"	"HFA"	1	"love"	0.00344999999999995
"SC-13-2"	"HFA"	1	"love"	0.0109999999999997
"SC-13-2"	"HFA"	1	"love"	0.0524
"SC-13-2"	"HFA"	1	"love"	0.0570000000000004
"SC-13-2"	"HFA"	1	"love"	0.06175
"SC-13-2"	"HFA"	1	"love"	0.12535
"SC-13-2"	"HFA"	1	"love"	0.106
"SC-13-2"	"HFA"	1	"love"	0.4315
"SC-13-2"	"HFA"	1	"love"	4.458
"SC-13-2"	"HFA"	1	"love"	0.0499500000000008
