 	Channel 4	 	 
Time	Value	Cmt Time	Cmt Text
s	V	s	 
2220.73425	0.0	 	 
2220.9878	1.0	 	 
2221.0128	1.0	 	 
2221.0323	0.0	 	 
2221.0496	1.0	 	 
2221.0659	1.0	 	 
2221.08355	1.0	 	 
2221.1051	1.0	 	 
2221.1277	1.0	 	 
2221.15045	1.0	 	 
2221.17055	1.0	 	 
2221.19285	1.0	 	 
2221.2125	1.0	 	 
2221.2295	1.0	 	 
2221.2449	1.0	 	 
2221.2597	1.0	 	 
2221.28865	1.0	 	 
2221.3033	1.0	 	 
2221.31845	1.0	 	 
2221.3339	1.0	 	 
2221.3994	1.0	 	 
2221.41735	1.0	 	 
2221.43745	1.0	 	 
2221.46305	1.0	 	 
2221.5187	1.0	 	 
2221.5696	1.0	 	 
2224.20735	1.0	 	 
2224.2472	1.0	 	 
2224.28085	0.0	 	 
2224.3194	1.0	 	 
2224.3522	1.0	 	 
2224.39	1.0	 	 
2224.43035	1.0	 	 
2224.61605	0.0	 	 
2224.6725	1.0	 	 
2224.77805	0.0	 	 
2225.9902	1.0	 	 
2226.45355	1.0	 	 
2226.5053	1.0	 	 
2226.56985	1.0	 	 
2226.645	1.0	 	 
2226.74085	1.0	2226.7	soft brush sensitive C fibre responding to 10 g
2228.2248	1.0	2226.7	soft brush sensitive C fibre responding to 10 g
2228.26155	0.0	2226.7	soft brush sensitive C fibre responding to 10 g
2228.29975	1.0	2226.7	soft brush sensitive C fibre responding to 10 g
2228.35005	1.0	2226.7	soft brush sensitive C fibre responding to 10 g
2228.4191	1.0	2226.7	soft brush sensitive C fibre responding to 10 g
2231.07545	1.0	2226.7	soft brush sensitive C fibre responding to 10 g
2231.10315	1.0	2226.7	soft brush sensitive C fibre responding to 10 g
2231.12505	1.0	2226.7	soft brush sensitive C fibre responding to 10 g
2231.1638	1.0	2226.7	soft brush sensitive C fibre responding to 10 g
2231.18195	1.0	2226.7	soft brush sensitive C fibre responding to 10 g
2231.19965	1.0	2226.7	soft brush sensitive C fibre responding to 10 g
2231.2184	1.0	2226.7	soft brush sensitive C fibre responding to 10 g
2231.2622	1.0	2226.7	soft brush sensitive C fibre responding to 10 g
2231.2848	1.0	2226.7	soft brush sensitive C fibre responding to 10 g
2231.3193	1.0	2226.7	soft brush sensitive C fibre responding to 10 g
2231.3459	1.0	2226.7	soft brush sensitive C fibre responding to 10 g
2231.38145	1.0	2226.7	soft brush sensitive C fibre responding to 10 g
2231.42915	0.0	2226.7	soft brush sensitive C fibre responding to 10 g
2231.47245	1.0	2226.7	soft brush sensitive C fibre responding to 10 g
2231.533	1.0	2226.7	soft brush sensitive C fibre responding to 10 g
2231.5837	1.0	2226.7	soft brush sensitive C fibre responding to 10 g
2236.3181	1.0	2226.7	soft brush sensitive C fibre responding to 10 g
2236.41135	0.0	2226.7	soft brush sensitive C fibre responding to 10 g
2236.5843	1.0	2226.7	soft brush sensitive C fibre responding to 10 g
2237.8138	0.0	2226.7	soft brush sensitive C fibre responding to 10 g
2237.86555	0.0	2226.7	soft brush sensitive C fibre responding to 10 g
2237.9126	1.0	2226.7	soft brush sensitive C fibre responding to 10 g
2237.9663	1.0	2226.7	soft brush sensitive C fibre responding to 10 g
2238.01275	1.0	2226.7	soft brush sensitive C fibre responding to 10 g
2238.13335	0.0	2226.7	soft brush sensitive C fibre responding to 10 g
2825.02965	1.0	2824.95	att
2828.6246	1.0	2824.95	att
2832.72575	1.0	2824.95	att
2843.01825	0.0	2840.5	sad
2843.6352	0.0	2840.5	sad
2851.8434	0.0	2840.5	sad
2851.89635	0.0	2840.5	sad
2856.1785	0.0	2840.5	sad
2858.524	1.0	2856.7025	love
2858.5489	1.0	2856.7025	love
2858.6093	1.0	2856.7025	love
2858.6657	1.0	2856.7025	love
2858.69195	1.0	2856.7025	love
2858.7263	1.0	2856.7025	love
2860.7967	1.0	2856.7025	love
2860.83435	1.0	2856.7025	love
2860.86085	1.0	2856.7025	love
2861.03675	1.0	2856.7025	love
2861.0611	1.0	2856.7025	love
2866.09865	1.0	2856.7025	love
2866.1931	1.0	2856.7025	love
2867.10965	0.0	2856.7025	love
2874.9269	1.0	2873.0525	calm
2874.9889	1.0	2873.0525	calm
2875.0314	1.0	2873.0525	calm
2878.0768	1.0	2873.0525	calm
2891.278	1.0	2889.6025	grat
2891.32035	1.0	2889.6025	grat
2891.3794	1.0	2889.6025	grat
2891.42195	0.0	2889.6025	grat
2894.49185	1.0	2889.6025	grat
2895.4991	1.0	2889.6025	grat
2895.57445	1.0	2889.6025	grat
2895.82345	1.0	2889.6025	grat
2895.99035	1.0	2889.6025	grat
2896.63435	1.0	2889.6025	grat
2896.8927	1.0	2889.6025	grat
2896.95025	1.0	2889.6025	grat
2897.1948	1.0	2889.6025	grat
2900.01815	1.0	2889.6025	grat
2900.71075	1.0	2889.6025	grat
2900.77225	1.0	2889.6025	grat
2903.0696	0.0	2889.6025	grat
2907.50835	1.0	2906.1025	sad
2907.82725	1.0	2906.1025	sad
2911.15505	1.0	2906.1025	sad
2911.17885	1.0	2906.1025	sad
2911.9202	1.0	2906.1025	sad
2912.2215	1.0	2906.1025	sad
2912.29125	1.0	2906.1025	sad
2913.2699	0.0	2906.1025	sad
2913.2735	0.0	2906.1025	sad
2923.8324	1.0	2922.9	att
2924.09095	1.0	2922.9	att
2927.4803	1.0	2922.9	att
2929.04385	1.0	2922.9	att
2931.4068	1.0	2922.9	att
2931.65485	1.0	2922.9	att
2932.02695	0.0	2922.9	att
2933.9769	1.0	2922.9	att
2940.69245	1.0	2939.3	happy
2941.985	0.0	2939.3	happy
2942.7029	1.0	2939.3	happy
2942.85585	1.0	2939.3	happy
2944.38585	1.0	2939.3	happy
2957.5977	1.0	2955.69	love
2957.67325	1.0	2955.69	love
2957.83385	1.0	2955.69	love
2957.8667	1.0	2955.69	love
2958.1847	1.0	2955.69	love
2958.3959	1.0	2955.69	love
2958.4744	1.0	2955.69	love
2960.81035	1.0	2955.69	love
2960.8346	0.0	2955.69	love
2960.94835	1.0	2955.69	love
2960.97035	0.0	2955.69	love
2961.01865	0.0	2955.69	love
2961.0467	1.0	2955.69	love
2961.0739	1.0	2955.69	love
2961.28725	1.0	2955.69	love
2961.31395	0.0	2955.69	love
2961.33905	1.0	2955.69	love
2961.3847	0.0	2955.69	love
2961.4731	0.0	2955.69	love
2964.3645	1.0	2955.69	love
2964.7807	1.0	2955.69	love
2968.8381	0.0	2955.69	love
2976.23995	1.0	2972.2	grat
2976.298	1.0	2972.2	grat
2976.4038	1.0	2972.2	grat
2976.45485	1.0	2972.2	grat
2977.63825	1.0	2972.2	grat
2978.0376	1.0	2972.2	grat
2978.0783	1.0	2972.2	grat
2978.1257	0.0	2972.2	grat
2978.77605	1.0	2972.2	grat
2978.89955	1.0	2972.2	grat
2979.4215	1.0	2972.2	grat
2980.29175	1.0	2972.2	grat
2980.3608	0.0	2972.2	grat
2981.9936	0.0	2972.2	grat
2985.94145	0.0	2972.2	grat
2986.1906	0.0	2972.2	grat
2986.9975	0.0	2972.2	grat
2990.72095	1.0	2988.5975	calm
2990.7426	1.0	2988.5975	calm
2990.7703	1.0	2988.5975	calm
2991.33665	1.0	2988.5975	calm
2991.8551	0.0	2988.5975	calm
2991.9811	0.0	2988.5975	calm
2992.0368	1.0	2988.5975	calm
2992.31535	0.0	2988.5975	calm
2992.66585	0.0	2988.5975	calm
2993.0718	0.0	2988.5975	calm
2993.2338	0.0	2988.5975	calm
2993.44615	0.0	2988.5975	calm
2994.44275	0.0	2988.5975	calm
2994.46325	1.0	2988.5975	calm
2994.5489	1.0	2988.5975	calm
2994.78555	1.0	2988.5975	calm
2994.79545	0.0	2988.5975	calm
2995.73355	1.0	2988.5975	calm
2996.0947	0.0	2988.5975	calm
2996.34365	0.0	2988.5975	calm
2997.7871	0.0	2988.5975	calm
2998.06525	1.0	2988.5975	calm
2998.1416	1.0	2988.5975	calm
2998.22635	1.0	2988.5975	calm
2999.08925	0.0	2988.5975	calm
2999.1955	1.0	2988.5975	calm
2999.2799	1.0	2988.5975	calm
2999.3247	1.0	2988.5975	calm
2999.3354	0.0	2988.5975	calm
