 	Spikes	 	 
Time	Value	Cmt Time	Cmt Text
s	V	s	 
7730.617146	1.0	 	 
7731.770796	1.0	 	 
7732.210146	1.0	 	 
7732.602846	1.0	 	 
7741.877096	1.0	 	 
7741.916196	1.0	 	 
7741.953346	1.0	 	 
7742.050596	1.0	 	 
7742.837346	1.0	 	 
7742.925796	1.0	 	 
7746.489996	1.0	 	 
7746.530096	1.0	 	 
7746.559946	1.0	 	 
7746.587346	1.0	 	 
7746.614146	1.0	 	 
7746.640346	1.0	 	 
7746.667646	1.0	 	 
7746.696846	1.0	 	 
7746.726146	1.0	 	 
7746.753346	1.0	 	 
7746.779046	1.0	 	 
7746.803246	1.0	 	 
7746.827596	1.0	 	 
7746.852796	1.0	 	 
7746.877796	1.0	 	 
7746.902446	1.0	 	 
7746.928046	1.0	 	 
7746.955296	1.0	 	 
7746.984846	1.0	 	 
7747.015796	1.0	 	 
7747.046496	1.0	 	 
7747.075496	1.0	 	 
7747.104496	1.0	 	 
7747.135946	1.0	 	 
7747.170446	1.0	 	 
7747.208746	1.0	 	 
7747.245546	1.0	 	 
7747.278946	1.0	 	 
7747.310396	1.0	 	 
7747.343846	1.0	 	 
7747.378896	1.0	 	 
7747.416146	1.0	 	 
7747.458146	1.0	 	 
7747.506646	1.0	 	 
7747.595596	1.0	 	 
7747.663196	1.0	 	 
7747.711846	1.0	 	 
7747.837796	1.0	 	 
7747.986796	1.0	 	 
7748.056346	1.0	 	 
7748.369596	1.0	 	 
7748.563146	1.0	 	 
7748.888996	1.0	 	 
7749.069346	0.0	 	 
7749.482446	1.0	 	 
7749.780796	1.0	 	 
7750.221796	1.0	 	 
7751.583846	1.0	 	 
7753.449796	1.0	 	 
7753.496746	1.0	 	 
7755.653696	0.0	 	 
7755.654746	0.0	 	 
7760.281246	0.0	 	 
7760.828846	0.0	 	 
7762.940646	0.0	 	 
7762.981746	1.0	 	 
7763.012246	1.0	 	 
7763.037846	1.0	 	 
7763.061196	1.0	 	 
7763.083846	1.0	 	 
7763.105996	1.0	 	 
7763.127296	1.0	 	 
7763.148046	1.0	 	 
7763.168496	1.0	 	 
7763.188296	1.0	 	 
7763.207846	1.0	 	 
7763.227996	1.0	 	 
7763.248846	1.0	 	 
7763.270396	1.0	 	 
7763.292646	1.0	 	 
7763.315296	1.0	 	 
7763.338546	1.0	 	 
7763.362896	1.0	 	 
7763.387796	1.0	 	 
7763.412696	1.0	 	 
7763.438346	1.0	 	 
7763.466346	1.0	 	 
7763.495046	1.0	 	 
7763.523596	1.0	 	 
7763.552496	1.0	 	 
7763.581196	1.0	 	 
7763.610846	1.0	 	 
7763.640696	1.0	 	 
7763.671596	1.0	 	 
7763.702296	1.0	 	 
7763.738396	1.0	 	 
7763.775346	1.0	 	 
7763.809046	1.0	 	 
7763.842196	1.0	 	 
7763.876396	1.0	 	 
7763.914196	1.0	 	 
7763.953546	1.0	 	 
7763.994446	1.0	 	 
7764.038896	1.0	 	 
7764.077696	1.0	 	 
7764.127796	1.0	 	 
7764.184346	1.0	 	 
7764.251846	1.0	 	 
7764.301646	1.0	 	 
7764.365746	1.0	 	 
7764.432696	1.0	 	 
7764.514896	1.0	 	 
7764.574396	1.0	 	 
7764.626646	1.0	 	 
7764.716646	1.0	 	 
7764.867846	1.0	 	 
7764.972896	1.0	 	 
7765.117046	1.0	 	 
7765.190896	1.0	 	 
7765.295196	1.0	 	 
7765.624896	1.0	 	 
7765.742846	1.0	 	 
7765.860446	1.0	 	 
7766.003146	1.0	 	 
7766.216096	1.0	 	 
7766.504596	1.0	 	 
7766.728946	1.0	 	 
7766.911246	1.0	 	 
7767.165496	1.0	 	 
7767.332696	1.0	 	 
7767.552046	1.0	 	 
7768.045896	1.0	 	 
7768.133746	1.0	 	 
7768.203046	1.0	 	 
7768.245046	1.0	 	 
7768.277196	1.0	 	 
7768.316796	1.0	 	 
7771.490146	0.0	 	 
7779.121696	1.0	 	 
7779.163246	1.0	 	 
7779.195296	1.0	 	 
7779.222146	1.0	 	 
7779.246696	1.0	 	 
7779.270046	1.0	 	 
7779.292796	1.0	 	 
7779.315296	1.0	 	 
7779.338746	1.0	 	 
7779.362546	1.0	 	 
7779.386046	1.0	 	 
7779.409696	1.0	 	 
7779.435196	1.0	 	 
7779.462246	1.0	 	 
7779.490696	1.0	 	 
7779.519946	1.0	 	 
7779.548696	1.0	 	 
7779.578946	1.0	 	 
7779.610896	1.0	 	 
7779.645096	1.0	 	 
7779.679496	1.0	 	 
7779.712046	1.0	 	 
7779.747846	1.0	 	 
7779.787146	1.0	 	 
7779.828696	1.0	 	 
7779.875046	1.0	 	 
7779.930646	1.0	 	 
7779.980296	1.0	 	 
7780.052596	1.0	 	 
7780.157546	1.0	 	 
7780.271546	1.0	 	 
7780.562496	1.0	 	 
7780.636046	1.0	 	 
7780.811296	1.0	 	 
7780.918746	1.0	 	 
7780.978346	1.0	 	 
7781.035146	1.0	 	 
7781.127846	1.0	 	 
7781.187746	1.0	 	 
7781.278196	1.0	 	 
7781.338796	1.0	 	 
7781.398896	1.0	 	 
7781.503146	1.0	 	 
7781.617396	1.0	 	 
7781.828846	1.0	 	 
7781.998946	1.0	 	 
7782.305546	1.0	 	 
7782.443046	1.0	 	 
7783.093146	1.0	 	 
7783.666746	1.0	 	 
7783.863646	1.0	 	 
7784.044446	1.0	 	 
7784.187546	1.0	 	 
7784.235846	1.0	 	 
7784.302596	1.0	 	 
7784.385246	1.0	 	 
7784.473246	1.0	 	 
7784.587046	1.0	 	 
7784.716696	1.0	 	 
7784.755046	1.0	 	 
7784.807346	1.0	 	 
7784.862246	1.0	 	 
7784.908996	1.0	 	 
7795.630146	1.0	 	 
7795.669846	1.0	 	 
7795.700496	1.0	 	 
7795.727146	1.0	 	 
