 	Channel 4	 	 
Time	Value	Cmt Time	Cmt Text
s	V	s	 
4.547099905	1.0	4.4999	attention
4.550599905	1.0	4.4999	attention
4.554149905	1.0	4.4999	attention
4.732099905	1.0	4.4999	attention
4.735599905	1.0	4.4999	attention
4.906399905	1.0	4.4999	attention
4.911899905	1.0	4.4999	attention
5.812449905	1.0	4.4999	attention
5.990849905	1.0	4.4999	attention
6.267649905	1.0	4.4999	attention
6.424649905	1.0	4.4999	attention
6.429849905	1.0	4.4999	attention
6.433999905	1.0	4.4999	attention
7.389649905	1.0	4.4999	attention
7.532499905	1.0	4.4999	attention
8.467499905	1.0	4.4999	attention
8.471149905	1.0	4.4999	attention
8.632849905	1.0	4.4999	attention
8.793649905	1.0	4.4999	attention
8.802549905	1.0	4.4999	attention
8.949599905	1.0	4.4999	attention
8.955399905	1.0	4.4999	attention
10.2022999	1.0	4.4999	attention
11.0221999	1.0	4.4999	attention
11.0268499	1.0	4.4999	attention
11.0300499	1.0	4.4999	attention
11.1874999	1.0	4.4999	attention
11.3504499	1.0	4.4999	attention
11.5625499	1.0	4.4999	attention
12.7811999	1.0	4.4999	attention
12.9500499	1.0	4.4999	attention
13.1249999	1.0	4.4999	attention
13.1291999	1.0	4.4999	attention
13.3092499	1.0	4.4999	attention
13.5093999	1.0	4.4999	attention
14.8394499	1.0	4.4999	attention
14.8451999	1.0	4.4999	attention
14.8491499	1.0	4.4999	attention
15.0227499	1.0	4.4999	attention
15.0290499	1.0	4.4999	attention
15.1985999	1.0	4.4999	attention
15.2052499	1.0	4.4999	attention
15.2111999	1.0	4.4999	attention
15.3849999	1.0	4.4999	attention
15.3913999	1.0	4.4999	attention
15.5675999	1.0	4.4999	attention
16.6782999	1.0	4.4999	attention
16.6817999	1.0	4.4999	attention
20.7408999	1.0	4.4999	attention
21.3785499	1.0	4.4999	attention
21.7801999	1.0	4.4999	attention
22.9230999	1.0	4.4999	attention
23.7573499	1.0	4.4999	attention
24.6412999	1.0	4.4999	attention
24.9531999	1.0	4.4999	attention
27.3037999	1.0	4.4999	attention
27.8751499	1.0	4.4999	attention
28.1110999	1.0	4.4999	attention
29.9547999	1.0	4.4999	attention
32.0324499	1.0	4.4999	attention
36.9274999	1.0	4.4999	attention
37.3919499	1.0	4.4999	attention
38.7506999	1.0	4.4999	attention
38.9508999	1.0	4.4999	attention
40.1888499	1.0	4.4999	attention
45.1999499	1.0	44.9999	attention
45.2060499	1.0	44.9999	attention
45.3860999	1.0	44.9999	attention
45.3910499	1.0	44.9999	attention
45.5308499	1.0	44.9999	attention
46.6364499	1.0	44.9999	attention
46.8273999	1.0	44.9999	attention
46.8315499	1.0	44.9999	attention
46.9969499	1.0	44.9999	attention
47.1719999	1.0	44.9999	attention
47.1765999	1.0	44.9999	attention
47.3474499	1.0	44.9999	attention
47.3520499	1.0	44.9999	attention
48.8974499	1.0	44.9999	attention
49.0746499	1.0	44.9999	attention
49.0801499	1.0	44.9999	attention
49.0880999	1.0	44.9999	attention
49.2746999	1.0	44.9999	attention
49.4936499	1.0	44.9999	attention
50.8280499	1.0	44.9999	attention
50.8347999	1.0	44.9999	attention
51.6930499	1.0	44.9999	attention
51.6961999	1.0	44.9999	attention
51.8543499	1.0	44.9999	attention
51.8570499	1.0	44.9999	attention
52.0312499	1.0	44.9999	attention
52.1966499	1.0	44.9999	attention
52.2017999	1.0	44.9999	attention
53.8220499	1.0	44.9999	attention
54.0083999	1.0	44.9999	attention
54.0153499	1.0	44.9999	attention
55.5891499	1.0	44.9999	attention
55.5949999	1.0	44.9999	attention
55.7739499	1.0	44.9999	attention
55.9796499	1.0	44.9999	attention
55.9893999	1.0	44.9999	attention
56.5997499	1.0	44.9999	attention
57.7932999	1.0	44.9999	attention
57.8895499	1.0	44.9999	attention
57.8958999	1.0	44.9999	attention
58.0732999	1.0	44.9999	attention
58.2379499	1.0	44.9999	attention
58.3954999	1.0	44.9999	attention
59.0890499	1.0	44.9999	attention
59.7161499	1.0	44.9999	attention
59.8762499	1.0	44.9999	attention
62.2371999	1.0	44.9999	attention
62.7118999	1.0	44.9999	attention
64.1956499	1.0	44.9999	attention
65.1270999	1.0	44.9999	attention
66.4683999	1.0	44.9999	attention
67.3370499	1.0	44.9999	attention
67.7150499	0.0	44.9999	attention
68.5915499	1.0	44.9999	attention
83.8208999	1.0	 	 
84.0051999	1.0	 	 
84.4994999	1.0	 	 
85.4803999	1.0	 	 
87.9824499	1.0	 	 
89.5968499	1.0	88.9999	love
90.4360999	1.0	88.9999	love
91.5436999	1.0	88.9999	love
91.7995499	1.0	88.9999	love
92.5727999	1.0	88.9999	love
92.6393499	1.0	88.9999	love
92.9819499	1.0	88.9999	love
93.9393999	1.0	88.9999	love
94.9194999	1.0	88.9999	love
98.1951499	1.0	88.9999	love
98.2898999	1.0	88.9999	love
98.3778499	1.0	88.9999	love
105.4399999	1.0	88.9999	love
112.5976999	1.0	112.0499	gratitude
112.6759499	1.0	112.0499	gratitude
112.7006499	1.0	112.0499	gratitude
112.7419499	1.0	112.0499	gratitude
113.6336999	1.0	112.0499	gratitude
114.4375999	1.0	112.0499	gratitude
115.2015999	1.0	112.0499	gratitude
115.4978499	1.0	112.0499	gratitude
115.5800999	0.0	112.0499	gratitude
116.8624999	1.0	112.0499	gratitude
116.9548499	1.0	112.0499	gratitude
118.4187499	1.0	112.0499	gratitude
118.8625999	1.0	112.0499	gratitude
119.5827999	1.0	112.0499	gratitude
119.5986999	1.0	112.0499	gratitude
119.8806999	1.0	112.0499	gratitude
120.2453499	1.0	112.0499	gratitude
120.2810999	1.0	112.0499	gratitude
120.3849499	1.0	112.0499	gratitude
120.5032999	1.0	112.0499	gratitude
120.8210499	1.0	112.0499	gratitude
120.9416999	1.0	112.0499	gratitude
120.9808499	1.0	112.0499	gratitude
121.1557999	1.0	112.0499	gratitude
121.1785499	1.0	112.0499	gratitude
121.4204999	1.0	112.0499	gratitude
121.5030499	1.0	112.0499	gratitude
121.7962499	1.0	112.0499	gratitude
121.9277499	1.0	112.0499	gratitude
124.7469499	1.0	112.0499	gratitude
126.5653999	1.0	112.0499	gratitude
134.3013999	1.0	133.5999	sadness
134.3427999	1.0	133.5999	sadness
134.9201999	1.0	133.5999	sadness
134.9841499	1.0	133.5999	sadness
135.8581499	1.0	133.5999	sadness
136.1487999	1.0	133.5999	sadness
136.3081999	1.0	133.5999	sadness
136.3664999	1.0	133.5999	sadness
137.1613499	1.0	133.5999	sadness
137.5357499	1.0	133.5999	sadness
137.7021499	1.0	133.5999	sadness
137.7644499	1.0	133.5999	sadness
138.4002499	1.0	133.5999	sadness
138.4248499	1.0	133.5999	sadness
139.0446999	0.0	133.5999	sadness
139.6006499	1.0	133.5999	sadness
139.7435499	1.0	133.5999	sadness
140.0164999	1.0	133.5999	sadness
140.5350499	1.0	133.5999	sadness
142.7396999	1.0	133.5999	sadness
142.8326999	1.0	133.5999	sadness
153.3957499	1.0	153.0499	happiness
153.7471999	1.0	153.0499	happiness
153.7505999	1.0	153.0499	happiness
153.7545499	1.0	153.0499	happiness
155.1090499	1.0	153.0499	happiness
155.7347999	1.0	153.0499	happiness
155.9918499	1.0	153.0499	happiness
156.0253499	1.0	153.0499	happiness
156.0354499	0.0	153.0499	happiness
156.2567499	0.0	153.0499	happiness
156.2657999	1.0	153.0499	happiness
156.2694499	1.0	153.0499	happiness
157.3284999	1.0	153.0499	happiness
157.6889499	1.0	153.0499	happiness
158.1678999	1.0	153.0499	happiness
158.1729499	1.0	153.0499	happiness
158.3562999	1.0	153.0499	happiness
158.8905999	1.0	153.0499	happiness
159.2036499	1.0	153.0499	happiness
159.2097499	1.0	153.0499	happiness
159.2440999	1.0	153.0499	happiness
159.4713999	1.0	153.0499	happiness
159.5139999	1.0	153.0499	happiness
160.4837999	1.0	153.0499	happiness
160.6304999	1.0	153.0499	happiness
161.2288499	1.0	153.0499	happiness
161.3280499	1.0	153.0499	happiness
161.4428499	1.0	153.0499	happiness
161.4509999	1.0	153.0499	happiness
161.4550499	1.0	153.0499	happiness
161.7882499	1.0	153.0499	happiness
162.0090499	1.0	153.0499	happiness
162.2684999	1.0	153.0499	happiness
