 	Spike markers	 	 
Time	Value	Cmt Time	Cmt Text
s	V	s	 
244.6287001	0.0	239.9	Attention
244.6301501	0.0	239.9	Attention
244.6312501	0.0	239.9	Attention
247.1847501	1.0	239.9	Attention
247.2287001	1.0	239.9	Attention
247.2389001	1.0	239.9	Attention
247.2503501	1.0	239.9	Attention
247.2946501	1.0	239.9	Attention
247.3555001	1.0	239.9	Attention
247.4799501	1.0	239.9	Attention
247.5094001	1.0	239.9	Attention
247.8222501	1.0	239.9	Attention
247.8258001	1.0	239.9	Attention
247.8486501	1.0	239.9	Attention
247.9458001	1.0	239.9	Attention
248.0382501	1.0	239.9	Attention
695.5839501	0.0	694.335	gratitude
695.5858001	0.0	694.335	gratitude
695.5880501	0.0	694.335	gratitude
695.5896501	0.0	694.335	gratitude
695.6119001	0.0	694.335	gratitude
695.6373001	0.0	694.335	gratitude
695.6384001	0.0	694.335	gratitude
695.6395001	0.0	694.335	gratitude
695.6406501	0.0	694.335	gratitude
699.0867001	0.0	694.335	gratitude
699.1787501	0.0	694.335	gratitude
699.5313501	0.0	694.335	gratitude
702.4390001	0.0	694.335	gratitude
702.4428001	0.0	694.335	gratitude
702.4538001	0.0	694.335	gratitude
702.4588001	0.0	694.335	gratitude
702.4599501	0.0	694.335	gratitude
702.4629501	0.0	694.335	gratitude
702.9885501	0.0	694.335	gratitude
758.5080001	1.0	758.3375	love
761.2023501	1.0	758.3375	love
761.2093001	1.0	758.3375	love
761.2192001	1.0	758.3375	love
761.2401501	1.0	758.3375	love
761.2496001	1.0	758.3375	love
761.2550501	1.0	758.3375	love
761.3064001	1.0	758.3375	love
762.5996501	1.0	758.3375	love
762.7005501	1.0	758.3375	love
762.7200501	1.0	758.3375	love
762.7289501	1.0	758.3375	love
764.6627501	1.0	758.3375	love
764.6752001	1.0	758.3375	love
764.7053501	1.0	758.3375	love
764.7225001	1.0	758.3375	love
764.7794001	1.0	758.3375	love
766.6948001	1.0	758.3375	love
766.7176501	1.0	758.3375	love
766.7255001	1.0	758.3375	love
766.7598001	1.0	758.3375	love
778.1571001	1.0	776.6675	calming
778.1843501	1.0	776.6675	calming
778.7218001	0.0	776.6675	calming
778.7525501	1.0	776.6675	calming
778.7755501	1.0	776.6675	calming
778.7983001	1.0	776.6675	calming
778.8244001	1.0	776.6675	calming
779.0529501	1.0	776.6675	calming
779.0699501	1.0	776.6675	calming
779.1021001	1.0	776.6675	calming
779.1125001	1.0	776.6675	calming
779.5165001	1.0	776.6675	calming
782.2465001	1.0	776.6675	calming
782.2583501	1.0	776.6675	calming
782.2655001	1.0	776.6675	calming
782.2824501	1.0	776.6675	calming
782.3696001	1.0	776.6675	calming
782.6304501	1.0	776.6675	calming
784.4588001	1.0	776.6675	calming
784.4821501	1.0	776.6675	calming
784.5056501	1.0	776.6675	calming
784.5431001	1.0	776.6675	calming
784.5472001	1.0	776.6675	calming
784.5514501	1.0	776.6675	calming
784.5650501	1.0	776.6675	calming
784.5743001	1.0	776.6675	calming
784.6823501	1.0	776.6675	calming
784.7220501	1.0	776.6675	calming
784.7425501	1.0	776.6675	calming
784.8777001	1.0	776.6675	calming
784.8876001	1.0	776.6675	calming
784.9184501	1.0	776.6675	calming
784.9289001	1.0	776.6675	calming
785.1765001	1.0	776.6675	calming
785.1863001	1.0	776.6675	calming
795.4335501	1.0	794.7275	gratitude
795.4517501	1.0	794.7275	gratitude
796.4571501	1.0	794.7275	gratitude
796.8889001	1.0	794.7275	gratitude
796.9983501	1.0	794.7275	gratitude
797.0522001	1.0	794.7275	gratitude
798.5798501	1.0	794.7275	gratitude
798.5930001	1.0	794.7275	gratitude
799.3746501	1.0	794.7275	gratitude
799.4890001	1.0	794.7275	gratitude
799.8487001	1.0	794.7275	gratitude
799.9914501	1.0	794.7275	gratitude
800.1975001	1.0	794.7275	gratitude
800.5729501	1.0	794.7275	gratitude
800.6381501	0.0	794.7275	gratitude
800.6843001	0.0	794.7275	gratitude
800.6859501	0.0	794.7275	gratitude
800.7002501	0.0	794.7275	gratitude
800.7015001	0.0	794.7275	gratitude
800.7029001	0.0	794.7275	gratitude
800.7043501	0.0	794.7275	gratitude
800.7416501	0.0	794.7275	gratitude
800.7428501	0.0	794.7275	gratitude
800.7438501	0.0	794.7275	gratitude
800.7449001	0.0	794.7275	gratitude
800.7879001	1.0	794.7275	gratitude
800.8023501	0.0	794.7275	gratitude
800.8033501	0.0	794.7275	gratitude
800.8049001	0.0	794.7275	gratitude
800.8060001	0.0	794.7275	gratitude
800.8645001	0.0	794.7275	gratitude
801.1030001	1.0	794.7275	gratitude
801.1928001	1.0	794.7275	gratitude
801.3112501	1.0	794.7275	gratitude
801.3268001	0.0	794.7275	gratitude
802.6932501	1.0	794.7275	gratitude
802.8175501	1.0	794.7275	gratitude
802.8313001	1.0	794.7275	gratitude
802.8462501	1.0	794.7275	gratitude
802.8595501	1.0	794.7275	gratitude
803.1389001	1.0	794.7275	gratitude
803.4483001	1.0	794.7275	gratitude
803.8147501	1.0	794.7275	gratitude
804.2593001	1.0	794.7275	gratitude
804.2988501	0.0	794.7275	gratitude
804.8024001	1.0	794.7275	gratitude
811.8917501	1.0	811.795	happiness
811.9330501	0.0	811.795	happiness
811.9342501	0.0	811.795	happiness
811.9371001	0.0	811.795	happiness
812.0836501	1.0	811.795	happiness
812.2138501	1.0	811.795	happiness
812.2295501	0.0	811.795	happiness
812.3096001	1.0	811.795	happiness
812.4869001	1.0	811.795	happiness
814.2085001	1.0	811.795	happiness
814.2462001	0.0	811.795	happiness
814.2472501	0.0	811.795	happiness
814.2483501	0.0	811.795	happiness
814.2511001	0.0	811.795	happiness
814.4345501	0.0	811.795	happiness
814.4362001	0.0	811.795	happiness
814.4378001	0.0	811.795	happiness
814.5205001	1.0	811.795	happiness
814.8081001	1.0	811.795	happiness
814.8275001	0.0	811.795	happiness
814.9318001	1.0	811.795	happiness
814.9911001	1.0	811.795	happiness
815.1626501	0.0	811.795	happiness
815.1641001	0.0	811.795	happiness
815.2675501	1.0	811.795	happiness
815.2706501	1.0	811.795	happiness
815.3174501	1.0	811.795	happiness
816.0270001	1.0	811.795	happiness
816.0649501	0.0	811.795	happiness
816.0701501	0.0	811.795	happiness
816.0715001	0.0	811.795	happiness
816.1515001	1.0	811.795	happiness
816.1550001	1.0	811.795	happiness
816.1952501	1.0	811.795	happiness
816.2826001	1.0	811.795	happiness
816.6733001	1.0	811.795	happiness
816.6990001	0.0	811.795	happiness
816.7074501	0.0	811.795	happiness
816.7088501	0.0	811.795	happiness
816.7100501	0.0	811.795	happiness
816.7114001	0.0	811.795	happiness
816.7124001	0.0	811.795	happiness
816.7135501	0.0	811.795	happiness
816.9758001	1.0	811.795	happiness
817.2274001	1.0	811.795	happiness
817.8935001	0.0	811.795	happiness
817.8959501	0.0	811.795	happiness
818.1215001	1.0	811.795	happiness
818.1828001	0.0	811.795	happiness
818.1866501	0.0	811.795	happiness
818.4314501	1.0	811.795	happiness
818.7434001	1.0	811.795	happiness
818.9932501	1.0	811.795	happiness
819.0921001	1.0	811.795	happiness
819.1296501	0.0	811.795	happiness
820.1986001	1.0	811.795	happiness
820.5026501	1.0	811.795	happiness
820.8375501	1.0	811.795	happiness
832.1775001	1.0	830.6575	sadness
832.3020501	1.0	830.6575	sadness
834.6750501	1.0	830.6575	sadness
834.7239501	1.0	830.6575	sadness
834.7401501	1.0	830.6575	sadness
834.7735001	1.0	830.6575	sadness
834.7933501	1.0	830.6575	sadness
834.8202501	1.0	830.6575	sadness
834.9404501	1.0	830.6575	sadness
838.1819001	1.0	830.6575	sadness
841.6277001	1.0	830.6575	sadness
841.7705501	1.0	830.6575	sadness
849.0137501	1.0	848.245	attention
849.0651001	0.0	848.245	attention
849.4509501	0.0	848.245	attention
849.4543501	0.0	848.245	attention
849.4596001	1.0	848.245	attention
849.5096001	0.0	848.245	attention
849.6824501	1.0	848.245	attention
850.3757001	0.0	848.245	attention
850.3777501	0.0	848.245	attention
850.3789001	0.0	848.245	attention
850.4362501	0.0	848.245	attention
850.7808501	1.0	848.245	attention
850.7859501	1.0	848.245	attention
850.7940501	0.0	848.245	attention
