 	Spike markers	 	 
Time	Value	Cmt Time	Cmt Text
s	V	s	 
6.995399905	1.0	5.6425	Love
7.038149905	1.0	5.6425	Love
8.572249905	1.0	5.6425	Love
9.009949905	1.0	5.6425	Love
9.233949905	1.0	5.6425	Love
12.8371499	0.0	5.6425	Love
13.1065999	1.0	5.6425	Love
13.2952499	1.0	5.6425	Love
65.1663999	1.0	64.1544	Happiness
67.8822499	0.0	64.1544	Happiness
71.2875999	1.0	64.1544	Happiness
71.4964999	1.0	64.1544	Happiness
72.7533499	1.0	64.1544	Happiness
73.1193499	1.0	64.1544	Happiness
73.5575999	1.0	64.1544	Happiness
74.5805999	1.0	64.1544	Happiness
83.2078499	1.0	81.804	Gratitude
83.6521499	1.0	81.804	Gratitude
84.3038999	1.0	81.804	Gratitude
85.3845499	1.0	81.804	Gratitude
86.0821999	1.0	81.804	Gratitude
86.1695499	1.0	81.804	Gratitude
86.6818499	1.0	81.804	Gratitude
86.7658499	1.0	81.804	Gratitude
89.3976499	0.0	81.804	Gratitude
91.3671999	1.0	81.804	Gratitude
91.5566499	1.0	81.804	Gratitude
91.7813499	1.0	81.804	Gratitude
92.5004999	1.0	81.804	Gratitude
100.3789499	1.0	99.0755	Attention
100.5563999	1.0	99.0755	Attention
100.7793499	1.0	99.0755	Attention
101.4309499	1.0	99.0755	Attention
102.7974999	1.0	99.0755	Attention
103.0517499	1.0	99.0755	Attention
103.2754999	1.0	99.0755	Attention
105.6885499	1.0	99.0755	Attention
106.1353999	1.0	99.0755	Attention
106.5914499	1.0	99.0755	Attention
108.2221999	0.0	99.0755	Attention
108.4536499	0.0	99.0755	Attention
108.6831499	1.0	99.0755	Attention
108.9229999	1.0	99.0755	Attention
109.1699499	1.0	99.0755	Attention
116.5602999	1.0	115.4257	Calming
117.5064999	1.0	115.4257	Calming
125.3506999	1.0	115.4257	Calming
125.6569999	1.0	115.4257	Calming
125.9801499	1.0	115.4257	Calming
135.0399999	1.0	134.184	Attention
135.5173499	1.0	134.184	Attention
135.7386499	1.0	134.184	Attention
137.9597499	1.0	134.184	Attention
138.1834499	0.0	134.184	Attention
138.4183999	1.0	134.184	Attention
138.6521999	1.0	134.184	Attention
142.9471499	1.0	134.184	Attention
143.6249999	1.0	134.184	Attention
155.9857499	1.0	154.8052	Calming
156.2651999	1.0	154.8052	Calming
159.8830999	1.0	154.8052	Calming
176.3215999	1.0	171.7181	Gratitude
176.5827499	1.0	171.7181	Gratitude
176.6607999	1.0	171.7181	Gratitude
176.8711499	0.0	171.7181	Gratitude
177.7683999	1.0	171.7181	Gratitude
180.0390499	1.0	171.7181	Gratitude
180.8710499	0.0	171.7181	Gratitude
181.9936499	1.0	171.7181	Gratitude
195.4960499	1.0	194.3785	Happiness
195.6268499	1.0	194.3785	Happiness
195.9193999	0.0	194.3785	Happiness
196.9785999	0.0	194.3785	Happiness
197.7828999	1.0	194.3785	Happiness
198.0914499	1.0	194.3785	Happiness
198.6932499	0.0	194.3785	Happiness
199.0197499	1.0	194.3785	Happiness
200.0305999	1.0	194.3785	Happiness
201.0843999	1.0	194.3785	Happiness
201.6052499	1.0	194.3785	Happiness
203.2445999	1.0	194.3785	Happiness
203.7367999	0.0	194.3785	Happiness
204.8191499	1.0	194.3785	Happiness
205.0792499	1.0	194.3785	Happiness
230.3457999	1.0	228.5586	Love
234.1625999	1.0	228.5586	Love
234.2755999	1.0	228.5586	Love
234.6556499	1.0	228.5586	Love
234.8402999	1.0	228.5586	Love
239.0670499	1.0	228.5586	Love
239.2060999	1.0	228.5586	Love
239.5466499	1.0	228.5586	Love
246.7806499	1.0	245.6508	Attention
247.0057999	1.0	245.6508	Attention
247.2190499	1.0	245.6508	Attention
247.4190499	1.0	245.6508	Attention
247.6400999	1.0	245.6508	Attention
249.2431999	1.0	245.6508	Attention
249.9005499	1.0	245.6508	Attention
250.1376999	1.0	245.6508	Attention
251.7123499	1.0	245.6508	Attention
251.9226999	1.0	245.6508	Attention
252.1524499	1.0	245.6508	Attention
252.3510499	0.0	245.6508	Attention
252.5615499	1.0	245.6508	Attention
253.9526499	1.0	245.6508	Attention
254.1913999	1.0	245.6508	Attention
262.9875999	1.0	261.8094	Calming
268.0179999	1.0	261.8094	Calming
270.9760499	1.0	261.8094	Calming
271.6550999	1.0	261.8094	Calming
279.2894499	1.0	278.339	Happiness
279.4617999	1.0	278.339	Happiness
281.6859499	1.0	278.339	Happiness
283.2201999	1.0	278.339	Happiness
283.4600999	1.0	278.339	Happiness
283.6044999	1.0	278.339	Happiness
284.8227499	1.0	278.339	Happiness
285.7237999	1.0	278.339	Happiness
287.1001999	1.0	278.339	Happiness
289.2130999	1.0	278.339	Happiness
289.2786999	1.0	278.339	Happiness
314.7813499	1.0	311.4114	Gratitude
315.2983999	1.0	311.4114	Gratitude
315.3508499	1.0	311.4114	Gratitude
315.5172999	1.0	311.4114	Gratitude
316.4932999	1.0	311.4114	Gratitude
317.6710999	1.0	311.4114	Gratitude
317.8534499	1.0	311.4114	Gratitude
318.7708499	1.0	311.4114	Gratitude
318.9296499	1.0	311.4114	Gratitude
319.4375499	1.0	311.4114	Gratitude
321.3502499	1.0	311.4114	Gratitude
328.5525499	1.0	327.2022	Love
329.2036999	1.0	327.2022	Love
330.3356999	0.0	327.2022	Love
331.4840499	1.0	327.2022	Love
331.6676499	1.0	327.2022	Love
333.1640999	1.0	327.2022	Love
333.1842999	1.0	327.2022	Love
333.2023999	1.0	327.2022	Love
333.3637499	1.0	327.2022	Love
333.4832999	1.0	327.2022	Love
333.5452499	1.0	327.2022	Love
335.1308499	1.0	327.2022	Love
337.3429499	1.0	327.2022	Love
337.3825499	1.0	327.2022	Love
337.7440499	1.0	327.2022	Love
22.1741999	2.0	22.1742	Sadness
210.9090999	2.0	210.9091	Sadness
295.2507499	2.0	295.2507	Sadness
