 	Channel 4	 	 
Time	Value	Cmt Time	Cmt Text
s	V	s	 
9503.72025	1.0	9491.325	love
9503.74965	0.0	9491.325	love
9503.7553	0.0	9491.325	love
9503.8556	1.0	9491.325	love
9503.88285	1.0	9491.325	love
9503.88515	0.0	9491.325	love
9503.891	0.0	9491.325	love
9503.98895	1.0	9491.325	love
9504.0118	0.0	9491.325	love
9504.0177	0.0	9491.325	love
9504.1236	1.0	9491.325	love
9504.13075	0.0	9491.325	love
9504.13655	0.0	9491.325	love
9504.2449	0.0	9491.325	love
9504.25075	0.0	9491.325	love
9504.355	0.0	9491.325	love
9504.36085	0.0	9491.325	love
9504.48085	0.0	9491.325	love
9504.48655	0.0	9491.325	love
9504.57835	1.0	9491.325	love
9504.59175	0.0	9491.325	love
9504.5975	0.0	9491.325	love
9504.60165	1.0	9491.325	love
9504.69455	0.0	9491.325	love
9504.7005	0.0	9491.325	love
9504.7221	1.0	9491.325	love
9504.81825	1.0	9491.325	love
9504.821	0.0	9491.325	love
9504.827	0.0	9491.325	love
9504.92705	0.0	9491.325	love
9504.93275	0.0	9491.325	love
9505.02355	0.0	9491.325	love
9505.0291	0.0	9491.325	love
9505.12225	0.0	9491.325	love
9505.12775	0.0	9491.325	love
9505.2531	0.0	9491.325	love
9505.2589	0.0	9491.325	love
9505.3647	0.0	9491.325	love
9505.37035	0.0	9491.325	love
9505.4605	0.0	9491.325	love
9505.46625	0.0	9491.325	love
9505.5557	0.0	9491.325	love
9505.56135	0.0	9491.325	love
9505.651	0.0	9491.325	love
9505.65675	0.0	9491.325	love
9505.7511	0.0	9491.325	love
9505.7569	0.0	9491.325	love
9505.8486	0.0	9491.325	love
9505.85425	0.0	9491.325	love
9505.9538	0.0	9491.325	love
9505.9596	0.0	9491.325	love
9506.0503	0.0	9491.325	love
9506.05595	0.0	9491.325	love
9506.1485	1.0	9491.325	love
9506.1547	0.0	9491.325	love
9506.16035	0.0	9491.325	love
9506.2491	0.0	9491.325	love
9506.25485	0.0	9491.325	love
9506.3432	0.0	9491.325	love
9506.3489	0.0	9491.325	love
9506.4417	0.0	9491.325	love
9506.4471	0.0	9491.325	love
9506.54125	0.0	9491.325	love
9506.54675	0.0	9491.325	love
9506.62455	0.0	9491.325	love
9506.63025	0.0	9491.325	love
9506.7202	0.0	9491.325	love
9506.72575	0.0	9491.325	love
9506.8124	0.0	9491.325	love
9506.81805	0.0	9491.325	love
9506.89865	0.0	9491.325	love
9506.9038	0.0	9491.325	love
9506.9861	0.0	9491.325	love
9506.99175	0.0	9491.325	love
9507.08205	0.0	9491.325	love
9507.08745	0.0	9491.325	love
9507.1776	0.0	9491.325	love
9507.1832	0.0	9491.325	love
9507.2727	0.0	9491.325	love
9507.27835	0.0	9491.325	love
9507.38285	0.0	9491.325	love
9507.3884	0.0	9491.325	love
9507.48925	0.0	9491.325	love
9507.4949	0.0	9491.325	love
9507.60405	0.0	9491.325	love
9507.6097	0.0	9491.325	love
9507.70925	0.0	9491.325	love
9507.71485	0.0	9491.325	love
9507.8216	0.0	9491.325	love
9507.82745	0.0	9491.325	love
9507.91945	0.0	9491.325	love
9507.9249	0.0	9491.325	love
9508.02865	0.0	9491.325	love
9508.03425	0.0	9491.325	love
9508.1323	0.0	9491.325	love
9508.13785	0.0	9491.325	love
9508.24915	0.0	9491.325	love
9508.25475	0.0	9491.325	love
9508.3651	0.0	9491.325	love
9508.37085	0.0	9491.325	love
9508.48915	0.0	9491.325	love
9508.4949	0.0	9491.325	love
9508.60495	0.0	9491.325	love
9508.61055	0.0	9491.325	love
9508.73125	0.0	9491.325	love
9508.7369	0.0	9491.325	love
9508.847	0.0	9491.325	love
9508.85275	0.0	9491.325	love
9508.9587	0.0	9491.325	love
9508.9642	0.0	9491.325	love
9509.08745	0.0	9491.325	love
9509.0932	0.0	9491.325	love
9509.20705	0.0	9491.325	love
9509.2128	0.0	9491.325	love
9509.3257	0.0	9491.325	love
9509.33145	0.0	9491.325	love
9509.447	0.0	9491.325	love
9509.4528	0.0	9491.325	love
9509.5851	0.0	9491.325	love
9509.5909	0.0	9491.325	love
9509.68955	0.0	9491.325	love
9509.69525	0.0	9491.325	love
9509.8175	0.0	9491.325	love
9509.82325	0.0	9491.325	love
9509.93435	0.0	9491.325	love
9509.9401	0.0	9491.325	love
9589.1442	0.0	 	 
9589.15035	0.0	 	 
9589.31865	0.0	 	 
9589.3248	0.0	 	 
9589.4751	0.0	 	 
9589.4809	0.0	 	 
9589.62515	0.0	 	 
9589.6311	0.0	 	 
9589.8043	0.0	 	 
9589.8102	0.0	 	 
9590.03365	0.0	 	 
9590.03985	0.0	 	 
9593.4134	1.0	9591.5	calming
9593.4391	1.0	9591.5	calming
9593.46895	1.0	9591.5	calming
9593.56955	1.0	9591.5	calming
9593.62215	1.0	9591.5	calming
9593.71585	1.0	9591.5	calming
9593.744	1.0	9591.5	calming
9593.88415	0.0	9591.5	calming
9593.9846	1.0	9591.5	calming
9594.1789	1.0	9591.5	calming
9594.20105	1.0	9591.5	calming
9594.2396	1.0	9591.5	calming
9596.61025	1.0	9591.5	calming
9596.71325	1.0	9591.5	calming
9596.95555	1.0	9591.5	calming
9598.3972	1.0	9591.5	calming
9598.7045	1.0	9591.5	calming
9599.3077	1.0	9591.5	calming
9599.6527	1.0	9591.5	calming
9601.5954	1.0	9591.5	calming
9601.6149	1.0	9591.5	calming
9601.63205	1.0	9591.5	calming
9601.83195	1.0	9591.5	calming
9601.91895	1.0	9591.5	calming
9602.0723	1.0	9591.5	calming
9602.3677	1.0	9591.5	calming
9602.6197	1.0	9591.5	calming
9602.81545	1.0	9591.5	calming
9609.6357	1.0	9609.5025	calming
9609.6987	1.0	9609.5025	calming
9610.0801	1.0	9609.5025	calming
9610.28335	1.0	9609.5025	calming
9610.4029	1.0	9609.5025	calming
9612.0398	1.0	9609.5025	calming
9612.2646	1.0	9609.5025	calming
9612.81765	1.0	9609.5025	calming
9613.06925	1.0	9609.5025	calming
9615.4685	0.0	9609.5025	calming
9615.60515	1.0	9609.5025	calming
9615.65105	1.0	9609.5025	calming
9617.6643	1.0	9609.5025	calming
9617.7048	1.0	9609.5025	calming
9617.86035	1.0	9609.5025	calming
9618.459	1.0	9609.5025	calming
9618.92065	1.0	9609.5025	calming
9619.04485	1.0	9609.5025	calming
9619.09905	1.0	9609.5025	calming
9619.2512	1.0	9609.5025	calming
9619.4263	1.0	9609.5025	calming
9621.64515	0.0	9609.5025	calming
9621.663	0.0	9609.5025	calming
9628.02615	1.0	9627.0975	calming
9628.29205	1.0	9627.0975	calming
9628.5026	1.0	9627.0975	calming
9628.7171	1.0	9627.0975	calming
9631.24715	1.0	9627.0975	calming
9631.68865	1.0	9627.0975	calming
9633.60275	1.0	9627.0975	calming
9634.0254	1.0	9627.0975	calming
9634.6294	1.0	9627.0975	calming
9634.68515	1.0	9627.0975	calming
9636.31155	1.0	9627.0975	calming
9636.40385	1.0	9627.0975	calming
9636.5447	1.0	9627.0975	calming
9637.2545	1.0	9627.0975	calming
9638.6448	0.0	9627.0975	calming
9638.6494	0.0	9627.0975	calming
9644.0888	0.0	9627.0975	calming
9646.69735	1.0	9646.3975	love
9647.48185	1.0	9646.3975	love
9648.41675	1.0	9646.3975	love
9649.3115	1.0	9646.3975	love
9650.3704	1.0	9646.3975	love
9651.5161	0.0	9646.3975	love
9651.5222	0.0	9646.3975	love
9651.65205	0.0	9646.3975	love
9651.749	0.0	9646.3975	love
9651.75455	0.0	9646.3975	love
9651.8684	0.0	9646.3975	love
9651.87425	0.0	9646.3975	love
9651.9731	0.0	9646.3975	love
9651.9789	0.0	9646.3975	love
