 	Channel 4	 	 
Time	Value	Cmt Time	Cmt Text
s	V	s	 
722.1853499	1.0	721.855	Love
722.2221499	1.0	721.855	Love
722.2669499	1.0	721.855	Love
722.2997499	1.0	721.855	Love
722.3113499	1.0	721.855	Love
722.3251499	1.0	721.855	Love
722.3434499	1.0	721.855	Love
722.3518999	1.0	721.855	Love
722.4122999	1.0	721.855	Love
722.4274499	1.0	721.855	Love
722.4504499	1.0	721.855	Love
722.5634999	1.0	721.855	Love
722.5970999	1.0	721.855	Love
722.6204999	1.0	721.855	Love
723.6485999	0.0	721.855	Love
724.1991999	1.0	721.855	Love
724.2098499	1.0	721.855	Love
724.2471499	1.0	721.855	Love
724.2701999	1.0	721.855	Love
724.2991499	1.0	721.855	Love
724.3336499	1.0	721.855	Love
724.3676999	1.0	721.855	Love
724.3732999	1.0	721.855	Love
724.3784499	1.0	721.855	Love
724.3860499	1.0	721.855	Love
724.3921499	1.0	721.855	Love
724.3988499	1.0	721.855	Love
724.4155999	1.0	721.855	Love
724.4353999	1.0	721.855	Love
724.4448499	1.0	721.855	Love
724.4575999	1.0	721.855	Love
724.4655999	1.0	721.855	Love
724.4732999	1.0	721.855	Love
724.4857999	1.0	721.855	Love
724.5110499	1.0	721.855	Love
724.5222499	1.0	721.855	Love
724.5650999	1.0	721.855	Love
724.6109499	1.0	721.855	Love
724.6269499	1.0	721.855	Love
724.6492499	1.0	721.855	Love
724.6797499	1.0	721.855	Love
724.6928499	1.0	721.855	Love
724.7050999	1.0	721.855	Love
724.7329499	1.0	721.855	Love
724.7643499	1.0	721.855	Love
724.7731499	1.0	721.855	Love
724.8315499	1.0	721.855	Love
724.8427499	1.0	721.855	Love
724.9277999	1.0	721.855	Love
724.9521999	1.0	721.855	Love
725.0047499	1.0	721.855	Love
726.9927999	1.0	721.855	Love
727.0189999	1.0	721.855	Love
727.0414499	1.0	721.855	Love
727.0579999	1.0	721.855	Love
727.0693999	1.0	721.855	Love
727.0773499	1.0	721.855	Love
727.1775999	1.0	721.855	Love
727.1916499	1.0	721.855	Love
727.2349499	1.0	721.855	Love
727.2576499	1.0	721.855	Love
727.3020499	1.0	721.855	Love
727.3153499	1.0	721.855	Love
727.3523499	1.0	721.855	Love
727.4078499	1.0	721.855	Love
727.4672499	1.0	721.855	Love
729.0697499	1.0	721.855	Love
729.0775499	1.0	721.855	Love
729.0855499	1.0	721.855	Love
729.1019499	1.0	721.855	Love
729.1141499	1.0	721.855	Love
729.1262499	1.0	721.855	Love
729.1540999	1.0	721.855	Love
729.2253999	1.0	721.855	Love
729.2417499	1.0	721.855	Love
729.2510499	1.0	721.855	Love
729.2894499	1.0	721.855	Love
729.3173499	1.0	721.855	Love
729.3442499	1.0	721.855	Love
729.3703499	1.0	721.855	Love
729.3855499	1.0	721.855	Love
729.3956499	1.0	721.855	Love
729.4367999	1.0	721.855	Love
729.4710499	1.0	721.855	Love
729.4876499	1.0	721.855	Love
729.4967999	1.0	721.855	Love
729.5042999	1.0	721.855	Love
729.5198999	1.0	721.855	Love
729.5281499	1.0	721.855	Love
729.6241999	1.0	721.855	Love
729.6336999	1.0	721.855	Love
729.7199999	1.0	721.855	Love
729.7346999	1.0	721.855	Love
729.7422499	1.0	721.855	Love
729.8060999	1.0	721.855	Love
729.8157999	1.0	721.855	Love
729.8248999	1.0	721.855	Love
729.9352999	1.0	721.855	Love
729.9672499	1.0	721.855	Love
729.9858499	1.0	721.855	Love
730.2420499	1.0	721.855	Love
730.2499999	1.0	721.855	Love
730.2578499	1.0	721.855	Love
731.5647999	1.0	721.855	Love
731.8416499	1.0	721.855	Love
731.8951499	1.0	721.855	Love
731.9350999	1.0	721.855	Love
731.9703499	1.0	721.855	Love
731.9938499	1.0	721.855	Love
732.0605499	1.0	721.855	Love
732.1131999	1.0	721.855	Love
732.1280499	1.0	721.855	Love
732.1765999	1.0	721.855	Love
732.1888999	1.0	721.855	Love
732.2146499	1.0	721.855	Love
732.2339999	1.0	721.855	Love
732.2462499	1.0	721.855	Love
732.2866999	1.0	721.855	Love
732.3298499	1.0	721.855	Love
732.3462999	0.0	721.855	Love
737.6355499	1.0	721.855	Love
752.4967999	0.0	 	 
754.4363499	1.0	753.86	Gratitude
754.4670499	1.0	753.86	Gratitude
754.6006499	1.0	753.86	Gratitude
754.7046499	1.0	753.86	Gratitude
754.7745999	1.0	753.86	Gratitude
754.7937999	1.0	753.86	Gratitude
754.8314499	1.0	753.86	Gratitude
754.8410499	1.0	753.86	Gratitude
754.8535999	1.0	753.86	Gratitude
754.8628499	1.0	753.86	Gratitude
754.8746999	1.0	753.86	Gratitude
754.8858999	1.0	753.86	Gratitude
754.9163999	1.0	753.86	Gratitude
754.9320999	1.0	753.86	Gratitude
754.9401499	1.0	753.86	Gratitude
754.9474499	1.0	753.86	Gratitude
754.9539999	1.0	753.86	Gratitude
754.9680999	1.0	753.86	Gratitude
755.0052999	1.0	753.86	Gratitude
755.0099499	1.0	753.86	Gratitude
755.0284499	1.0	753.86	Gratitude
755.0427499	1.0	753.86	Gratitude
755.0512499	1.0	753.86	Gratitude
755.0664499	0.0	753.86	Gratitude
755.1054499	1.0	753.86	Gratitude
755.1625999	1.0	753.86	Gratitude
755.1707999	1.0	753.86	Gratitude
755.2433499	1.0	753.86	Gratitude
755.2544999	1.0	753.86	Gratitude
755.3001499	1.0	753.86	Gratitude
755.5901499	1.0	753.86	Gratitude
755.6619499	1.0	753.86	Gratitude
755.6737499	1.0	753.86	Gratitude
755.7012999	1.0	753.86	Gratitude
755.7453499	1.0	753.86	Gratitude
755.7520999	1.0	753.86	Gratitude
756.1435499	1.0	753.86	Gratitude
756.8025499	1.0	753.86	Gratitude
756.8897999	1.0	753.86	Gratitude
757.1241499	1.0	753.86	Gratitude
757.1296999	1.0	753.86	Gratitude
757.1426999	1.0	753.86	Gratitude
757.1494499	1.0	753.86	Gratitude
757.1907999	1.0	753.86	Gratitude
757.2396999	1.0	753.86	Gratitude
757.2543999	1.0	753.86	Gratitude
757.2638499	1.0	753.86	Gratitude
757.2935999	1.0	753.86	Gratitude
757.3010499	1.0	753.86	Gratitude
757.3423999	1.0	753.86	Gratitude
757.3613499	1.0	753.86	Gratitude
