 	spike markers	 	 
Time	Value	Cmt Time	Cmt Text
s	V	s	 
4.79160001	1.0	4.59	atten
6.34535001	1.0	4.59	atten
6.55660001	1.0	4.59	atten
8.95785001	1.0	4.59	atten
9.41585001	1.0	4.59	atten
11.14815001	0.0	4.59	atten
11.24495001	1.0	4.59	atten
11.42450001	1.0	4.59	atten
13.94645001	1.0	4.59	atten
15.42000001	1.0	4.59	atten
35.64305001	1.0	26.49	lov
49.92845001	1.0	48.49	grat
72.59185001	0.0	67.94	sad
77.16325001	1.0	67.94	sad
78.80980001	0.0	67.94	sad
94.25360001	1.0	88.89	happy
95.69680001	0.0	88.89	happy
96.49255001	1.0	88.89	happy
124.38285	0.0	117.34	calm
157.6964	1.0	147.74	atten
157.91545	1.0	147.74	atten
174.3022	0.0	169.09	lov
174.3156	0.0	169.09	lov
174.32005	0.0	169.09	lov
174.3357	0.0	169.09	lov
174.33895	0.0	169.09	lov
174.34025	0.0	169.09	lov
174.3562	0.0	169.09	lov
174.35925	0.0	169.09	lov
174.3763	0.0	169.09	lov
174.37935	0.0	169.09	lov
174.3974	0.0	169.09	lov
174.3991	0.0	169.09	lov
174.4176	0.0	169.09	lov
174.4191	0.0	169.09	lov
174.4376	0.0	169.09	lov
174.43875	0.0	169.09	lov
174.74785	0.0	169.09	lov
174.74905	0.0	169.09	lov
174.7691	0.0	169.09	lov
174.78745	0.0	169.09	lov
174.7888	0.0	169.09	lov
194.81025	1.0	193.54	grat
195.0693	1.0	193.54	grat
217.13345	0.0	214.64	sad
236.1892	1.0	236.14	happy
238.18355	0.0	236.14	happy
247.3728	0.0	236.14	happy
247.386	0.0	236.14	happy
247.40615	0.0	236.14	happy
247.41025	0.0	236.14	happy
247.42675	0.0	236.14	happy
247.43025	0.0	236.14	happy
247.4469	0.0	236.14	happy
247.4496	0.0	236.14	happy
247.4678	0.0	236.14	happy
247.46915	0.0	236.14	happy
247.48795	0.0	236.14	happy
247.48915	0.0	236.14	happy
247.5082	0.0	236.14	happy
247.52835	0.0	236.14	happy
247.81725	0.0	236.14	happy
247.8191	0.0	236.14	happy
247.83685	0.0	236.14	happy
247.83825	0.0	236.14	happy
247.8394	0.0	236.14	happy
247.8583	0.0	236.14	happy
247.8795	0.0	236.14	happy
247.9198	0.0	236.14	happy
247.95865	0.0	236.14	happy
