 	Channel 4	 	 
Time	Value	Cmt Time	Cmt Text
s	V	s	 
736.4229	0.0	 	 
736.42545	0.0	 	 
737.8317	1.0	 	 
739.37255	1.0	739.005	love
739.414	1.0	739.005	love
739.457	1.0	739.005	love
739.50145	1.0	739.005	love
739.58665	1.0	739.005	love
739.776	1.0	739.005	love
740.26275	1.0	739.005	love
740.30385	1.0	739.005	love
740.32465	1.0	739.005	love
740.34745	1.0	739.005	love
740.38205	1.0	739.005	love
740.40675	1.0	739.005	love
741.1277	1.0	739.005	love
741.2457	1.0	739.005	love
741.4459	1.0	739.005	love
741.90925	1.0	739.005	love
742.04615	1.0	739.005	love
742.17305	1.0	739.005	love
742.2033	1.0	739.005	love
742.24395	1.0	739.005	love
743.48185	1.0	739.005	love
743.51875	1.0	739.005	love
744.30315	1.0	739.005	love
744.3721	1.0	739.005	love
744.3995	1.0	739.005	love
744.42645	1.0	739.005	love
744.46925	1.0	739.005	love
745.26825	1.0	739.005	love
745.30355	1.0	739.005	love
745.32855	1.0	739.005	love
745.5751	1.0	739.005	love
745.61115	1.0	739.005	love
746.10765	1.0	739.005	love
746.6919	1.0	739.005	love
746.73065	1.0	739.005	love
746.7697	1.0	739.005	love
746.7974	1.0	739.005	love
746.8687	1.0	739.005	love
747.30635	1.0	739.005	love
747.4331	1.0	739.005	love
747.5014	1.0	739.005	love
747.53725	1.0	739.005	love
747.5721	1.0	739.005	love
748.71715	1.0	739.005	love
748.94045	1.0	739.005	love
749.2953	1.0	739.005	love
755.85355	1.0	755.005	calm
756.08635	1.0	755.005	calm
756.1398	1.0	755.005	calm
756.2016	1.0	755.005	calm
758.17145	1.0	755.005	calm
758.4522	1.0	755.005	calm
758.5196	1.0	755.005	calm
759.03265	1.0	755.005	calm
760.3885	1.0	755.005	calm
760.45535	1.0	755.005	calm
760.614	1.0	755.005	calm
760.71545	1.0	755.005	calm
760.7396	1.0	755.005	calm
762.9763	1.0	755.005	calm
763.0392	1.0	755.005	calm
763.102	1.0	755.005	calm
763.1203	1.0	755.005	calm
763.13055	1.0	755.005	calm
763.19475	1.0	755.005	calm
763.22175	1.0	755.005	calm
763.24435	1.0	755.005	calm
765.4777	1.0	755.005	calm
772.7098	1.0	770.985	grat
773.0046	1.0	770.985	grat
773.24395	1.0	770.985	grat
773.3221	1.0	770.985	grat
773.74555	1.0	770.985	grat
773.8054	1.0	770.985	grat
774.10605	1.0	770.985	grat
774.29135	1.0	770.985	grat
774.47945	1.0	770.985	grat
774.5103	1.0	770.985	grat
774.54225	1.0	770.985	grat
774.57385	1.0	770.985	grat
774.60595	1.0	770.985	grat
774.64525	1.0	770.985	grat
774.72235	1.0	770.985	grat
774.7619	1.0	770.985	grat
774.79705	1.0	770.985	grat
774.8742	1.0	770.985	grat
774.9068	1.0	770.985	grat
774.97705	1.0	770.985	grat
775.02325	1.0	770.985	grat
775.12135	1.0	770.985	grat
775.3062	1.0	770.985	grat
775.3652	1.0	770.985	grat
775.44495	1.0	770.985	grat
775.97215	1.0	770.985	grat
776.3604	1.0	770.985	grat
776.66925	1.0	770.985	grat
777.27295	1.0	770.985	grat
777.8562	1.0	770.985	grat
777.92795	1.0	770.985	grat
777.96515	1.0	770.985	grat
778.05775	1.0	770.985	grat
778.3954	1.0	770.985	grat
778.4412	1.0	770.985	grat
778.4765	1.0	770.985	grat
779.36905	1.0	770.985	grat
779.4792	1.0	770.985	grat
779.9301	1.0	770.985	grat
780.19005	1.0	770.985	grat
780.3335	1.0	770.985	grat
780.4343	1.0	770.985	grat
780.49535	1.0	770.985	grat
780.914	1.0	770.985	grat
780.95015	1.0	770.985	grat
781.1109	1.0	770.985	grat
781.1584	1.0	770.985	grat
781.189	1.0	770.985	grat
781.27155	1.0	770.985	grat
781.3253	1.0	770.985	grat
781.3931	1.0	770.985	grat
781.4434	1.0	770.985	grat
781.50025	1.0	770.985	grat
781.61345	1.0	770.985	grat
782.025	1.0	770.985	grat
787.8627	0.0	770.985	grat
789.54145	1.0	788.005	sad
789.62115	1.0	788.005	sad
789.8625	1.0	788.005	sad
789.88905	1.0	788.005	sad
789.9178	1.0	788.005	sad
789.94375	1.0	788.005	sad
790.0784	1.0	788.005	sad
790.7721	1.0	788.005	sad
790.80665	1.0	788.005	sad
790.8394	1.0	788.005	sad
790.8671	1.0	788.005	sad
790.91425	1.0	788.005	sad
790.9362	1.0	788.005	sad
790.9575	1.0	788.005	sad
790.9777	1.0	788.005	sad
791.0631	1.0	788.005	sad
791.0846	1.0	788.005	sad
791.12315	1.0	788.005	sad
791.14325	1.0	788.005	sad
791.16575	1.0	788.005	sad
791.1897	1.0	788.005	sad
791.305	1.0	788.005	sad
791.33585	1.0	788.005	sad
791.37805	1.0	788.005	sad
791.4449	1.0	788.005	sad
791.47485	1.0	788.005	sad
791.70905	1.0	788.005	sad
791.7746	1.0	788.005	sad
791.9689	1.0	788.005	sad
792.038	1.0	788.005	sad
792.15515	1.0	788.005	sad
792.19435	1.0	788.005	sad
792.26675	1.0	788.005	sad
792.5101	1.0	788.005	sad
792.82525	1.0	788.005	sad
793.0894	1.0	788.005	sad
793.56375	1.0	788.005	sad
794.82865	1.0	788.005	sad
794.92945	1.0	788.005	sad
794.97525	1.0	788.005	sad
795.0678	1.0	788.005	sad
795.0939	1.0	788.005	sad
795.1774	1.0	788.005	sad
795.24045	1.0	788.005	sad
795.3006	1.0	788.005	sad
795.33705	1.0	788.005	sad
795.3743	1.0	788.005	sad
795.41465	1.0	788.005	sad
795.44855	1.0	788.005	sad
795.5694	1.0	788.005	sad
795.68525	1.0	788.005	sad
795.85685	1.0	788.005	sad
795.95275	1.0	788.005	sad
796.0625	1.0	788.005	sad
797.3831	1.0	788.005	sad
797.51995	1.0	788.005	sad
797.5724	1.0	788.005	sad
797.5968	1.0	788.005	sad
797.64215	1.0	788.005	sad
797.6665	1.0	788.005	sad
797.69075	1.0	788.005	sad
797.7255	1.0	788.005	sad
797.81975	1.0	788.005	sad
797.84785	1.0	788.005	sad
798.0505	1.0	788.005	sad
798.09325	1.0	788.005	sad
798.1743	1.0	788.005	sad
798.21845	1.0	788.005	sad
798.25745	1.0	788.005	sad
798.3593	1.0	788.005	sad
798.4471	1.0	788.005	sad
798.55615	1.0	788.005	sad
798.6549	1.0	788.005	sad
799.04485	1.0	788.005	sad
799.0743	1.0	788.005	sad
799.1315	1.0	788.005	sad
799.2687	1.0	788.005	sad
799.29585	1.0	788.005	sad
805.90405	1.0	804.985	att
805.9515	1.0	804.985	att
806.051	1.0	804.985	att
806.12195	1.0	804.985	att
806.268	1.0	804.985	att
806.54605	1.0	804.985	att
806.6271	1.0	804.985	att
808.1177	1.0	804.985	att
808.18415	1.0	804.985	att
808.3524	1.0	804.985	att
808.4631	1.0	804.985	att
808.6289	1.0	804.985	att
808.69705	1.0	804.985	att
810.3508	1.0	804.985	att
810.4164	1.0	804.985	att
810.5552	1.0	804.985	att
810.76495	1.0	804.985	att
811.03825	1.0	804.985	att
811.09195	1.0	804.985	att
811.6991	1.0	804.985	att
812.96925	1.0	804.985	att
813.0105	1.0	804.985	att
813.14815	1.0	804.985	att
813.33125	1.0	804.985	att
813.5913	0.0	804.985	att
821.5811	1.0	820.985	happy
822.15805	1.0	820.985	happy
822.3738	1.0	820.985	happy
822.6704	1.0	820.985	happy
822.938	1.0	820.985	happy
823.7722	1.0	820.985	happy
824.88785	1.0	820.985	happy
825.0369	1.0	820.985	happy
825.195	1.0	820.985	happy
825.4082	1.0	820.985	happy
826.11955	1.0	820.985	happy
826.30765	1.0	820.985	happy
826.505	1.0	820.985	happy
826.679	1.0	820.985	happy
827.5909	1.0	820.985	happy
827.8422	1.0	820.985	happy
828.0407	1.0	820.985	happy
828.08755	1.0	820.985	happy
828.22965	1.0	820.985	happy
828.3005	1.0	820.985	happy
828.40645	1.0	820.985	happy
829.11645	1.0	820.985	happy
829.18605	1.0	820.985	happy
829.3346	1.0	820.985	happy
829.7202	1.0	820.985	happy
831.24985	1.0	820.985	happy
831.3015	1.0	820.985	happy
831.4363	1.0	820.985	happy
831.5564	1.0	820.985	happy
831.61145	1.0	820.985	happy
832.1326	1.0	820.985	happy
