 	spike markers	 	 
Time	Value	Cmt Time	Cmt Text
s	V	s	 
0.026	1.0	 	 
1.6463	1.0	 	 
1.98525	1.0	 	 
2.2362	1.0	 	 
2.9712	1.0	 	 
3.2892	1.0	 	 
3.53365	1.0	 	 
3.8764	1.0	 	 
4.13585	1.0	 	 
4.8707	1.0	 	 
5.03165	1.0	5.0161	Calming
5.47055	1.0	5.0161	Calming
5.8257	1.0	5.0161	Calming
6.1731	1.0	5.0161	Calming
6.72955	1.0	5.0161	Calming
6.7729	1.0	5.0161	Calming
6.89155	1.0	5.0161	Calming
7.0699	1.0	5.0161	Calming
7.20955	1.0	5.0161	Calming
7.27065	1.0	5.0161	Calming
7.33065	1.0	5.0161	Calming
7.37015	1.0	5.0161	Calming
7.83225	1.0	5.0161	Calming
8.42715	1.0	5.0161	Calming
9.8099	1.0	5.0161	Calming
9.8918	1.0	5.0161	Calming
9.98975	1.0	5.0161	Calming
10.2779	1.0	5.0161	Calming
10.3742	1.0	5.0161	Calming
10.4116	1.0	5.0161	Calming
10.45285	1.0	5.0161	Calming
10.73705	1.0	5.0161	Calming
10.8544	1.0	5.0161	Calming
12.7541	1.0	5.0161	Calming
13.192	1.0	5.0161	Calming
13.27705	1.0	5.0161	Calming
13.35365	1.0	5.0161	Calming
13.43805	1.0	5.0161	Calming
13.55725	1.0	5.0161	Calming
13.651	1.0	5.0161	Calming
13.79055	1.0	5.0161	Calming
13.897	1.0	5.0161	Calming
15.07515	1.0	5.0161	Calming
17.3003	1.0	5.0161	Calming
18.15485	1.0	5.0161	Calming
22.422	1.0	21.5548	Love
23.08245	1.0	21.5548	Love
23.26635	1.0	21.5548	Love
23.41955	1.0	21.5548	Love
23.48155	1.0	21.5548	Love
23.61895	1.0	21.5548	Love
23.6775	1.0	21.5548	Love
23.80515	1.0	21.5548	Love
23.91925	1.0	21.5548	Love
24.5224	1.0	21.5548	Love
25.0993	1.0	21.5548	Love
25.24	1.0	21.5548	Love
25.31975	1.0	21.5548	Love
25.3866	1.0	21.5548	Love
25.68175	1.0	21.5548	Love
26.1593	1.0	21.5548	Love
26.32135	1.0	21.5548	Love
26.4791	1.0	21.5548	Love
27.52365	1.0	21.5548	Love
27.6793	1.0	21.5548	Love
28.18045	1.0	21.5548	Love
28.6442	1.0	21.5548	Love
29.0688	1.0	21.5548	Love
29.22995	1.0	21.5548	Love
29.28065	1.0	21.5548	Love
29.3205	1.0	21.5548	Love
29.7027	1.0	21.5548	Love
30.20755	1.0	21.5548	Love
32.0237	1.0	21.5548	Love
32.2675	1.0	21.5548	Love
32.39145	1.0	21.5548	Love
32.4528	1.0	21.5548	Love
32.7104	1.0	21.5548	Love
32.90605	1.0	21.5548	Love
33.59195	1.0	21.5548	Love
35.3309	1.0	21.5548	Love
35.95115	1.0	21.5548	Love
37.6939	1.0	21.5548	Love
38.19595	1.0	21.5548	Love
40.0181	1.0	38.4541	Gratitude
40.07555	1.0	38.4541	Gratitude
40.1126	1.0	38.4541	Gratitude
40.1562	1.0	38.4541	Gratitude
40.19165	1.0	38.4541	Gratitude
40.25605	1.0	38.4541	Gratitude
40.3101	1.0	38.4541	Gratitude
41.01145	1.0	38.4541	Gratitude
41.38005	1.0	38.4541	Gratitude
42.33695	1.0	38.4541	Gratitude
42.41875	1.0	38.4541	Gratitude
42.45605	1.0	38.4541	Gratitude
42.4931	1.0	38.4541	Gratitude
42.59635	1.0	38.4541	Gratitude
42.6749	1.0	38.4541	Gratitude
42.7196	1.0	38.4541	Gratitude
42.7542	1.0	38.4541	Gratitude
42.96	1.0	38.4541	Gratitude
43.61515	1.0	38.4541	Gratitude
43.7022	1.0	38.4541	Gratitude
43.79475	1.0	38.4541	Gratitude
44.5762	1.0	38.4541	Gratitude
44.9006	1.0	38.4541	Gratitude
44.9387	1.0	38.4541	Gratitude
45.10165	1.0	38.4541	Gratitude
45.27655	1.0	38.4541	Gratitude
46.51655	1.0	38.4541	Gratitude
46.54215	1.0	38.4541	Gratitude
46.6212	1.0	38.4541	Gratitude
46.7253	1.0	38.4541	Gratitude
47.2001	1.0	38.4541	Gratitude
47.80495	1.0	38.4541	Gratitude
47.86295	1.0	38.4541	Gratitude
47.9042	1.0	38.4541	Gratitude
47.9662	1.0	38.4541	Gratitude
48.02555	1.0	38.4541	Gratitude
48.0601	1.0	38.4541	Gratitude
48.1231	1.0	38.4541	Gratitude
48.16035	1.0	38.4541	Gratitude
48.25775	1.0	38.4541	Gratitude
48.46155	1.0	38.4541	Gratitude
48.6581	1.0	38.4541	Gratitude
48.76215	1.0	38.4541	Gratitude
48.7816	1.0	38.4541	Gratitude
48.86495	1.0	38.4541	Gratitude
48.90285	1.0	38.4541	Gratitude
48.98625	1.0	38.4541	Gratitude
49.04055	1.0	38.4541	Gratitude
49.06425	1.0	38.4541	Gratitude
49.1178	1.0	38.4541	Gratitude
49.28625	1.0	38.4541	Gratitude
49.32545	1.0	38.4541	Gratitude
49.3423	1.0	38.4541	Gratitude
49.35915	1.0	38.4541	Gratitude
49.48795	1.0	38.4541	Gratitude
49.60045	1.0	38.4541	Gratitude
49.64575	1.0	38.4541	Gratitude
49.7252	1.0	38.4541	Gratitude
49.94755	1.0	38.4541	Gratitude
50.08585	1.0	38.4541	Gratitude
50.30575	1.0	38.4541	Gratitude
50.4985	1.0	38.4541	Gratitude
51.20815	1.0	38.4541	Gratitude
52.10285	1.0	38.4541	Gratitude
54.54375	1.0	38.4541	Gratitude
105.07355	1.0	 	 
105.4947	1.0	 	 
105.739	1.0	 	 
106.0132	1.0	 	 
106.5604	1.0	 	 
106.73295	1.0	 	 
107.315	1.0	 	 
107.5954	1.0	 	 
107.75725	1.0	 	 
108.1351	1.0	108.1191	Attention
108.959	1.0	108.1191	Attention
109.4934	1.0	108.1191	Attention
109.7228	1.0	108.1191	Attention
109.8928	1.0	108.1191	Attention
110.0072	1.0	108.1191	Attention
110.0837	1.0	108.1191	Attention
110.2942	1.0	108.1191	Attention
110.8804	1.0	108.1191	Attention
111.6182	1.0	108.1191	Attention
111.71985	1.0	108.1191	Attention
111.8349	1.0	108.1191	Attention
111.8383	1.0	108.1191	Attention
111.8409	1.0	108.1191	Attention
112.05765	1.0	108.1191	Attention
112.2189	1.0	108.1191	Attention
112.2221	1.0	108.1191	Attention
112.42555	0.0	108.1191	Attention
113.30585	1.0	108.1191	Attention
114.06485	1.0	108.1191	Attention
114.17995	1.0	108.1191	Attention
114.28025	1.0	108.1191	Attention
114.2835	1.0	108.1191	Attention
114.2868	1.0	108.1191	Attention
114.3847	1.0	108.1191	Attention
114.78775	1.0	108.1191	Attention
114.8817	1.0	108.1191	Attention
115.0871	1.0	108.1191	Attention
116.46745	1.0	108.1191	Attention
116.58	1.0	108.1191	Attention
116.704	1.0	108.1191	Attention
116.80175	1.0	108.1191	Attention
116.90085	1.0	108.1191	Attention
116.904	1.0	108.1191	Attention
117.1056	1.0	108.1191	Attention
117.30625	1.0	108.1191	Attention
118.73185	1.0	108.1191	Attention
120.1031	1.0	108.1191	Attention
120.7283	1.0	108.1191	Attention
121.4494	0.0	108.1191	Attention
122.3362	1.0	108.1191	Attention
122.85395	1.0	108.1191	Attention
125.2739	1.0	108.1191	Attention
126.1584	1.0	108.1191	Attention
126.67675	1.0	108.1191	Attention
126.9583	1.0	108.1191	Attention
127.298	1.0	108.1191	Attention
127.58085	1.0	108.1191	Attention
127.7205	1.0	108.1191	Attention
128.69775	1.0	108.1191	Attention
129.2435	1.0	129.1101	Happiness
129.6595	1.0	129.1101	Happiness
129.8758	1.0	129.1101	Happiness
130.0609	1.0	129.1101	Happiness
130.1969	1.0	129.1101	Happiness
130.27545	1.0	129.1101	Happiness
130.44125	1.0	129.1101	Happiness
130.6823	1.0	129.1101	Happiness
130.78335	1.0	129.1101	Happiness
130.8189	1.0	129.1101	Happiness
130.84485	1.0	129.1101	Happiness
130.95665	1.0	129.1101	Happiness
130.96305	1.0	129.1101	Happiness
131.1236	1.0	129.1101	Happiness
131.90095	1.0	129.1101	Happiness
132.14	1.0	129.1101	Happiness
132.16245	1.0	129.1101	Happiness
132.43855	1.0	129.1101	Happiness
